Frequency(Hz),Value Type:,RLGC1[1 1] - (Line_1_5:Line_1_5),RLGC1[1 2] - (Line_1_5:Line_2_6),RLGC1[1 3] - (Line_1_5:Line_3_7),RLGC1[1 4] - (Line_1_5:Line_4_8),RLGC1[2 2] - (Line_2_6:Line_2_6),RLGC1[2 3] - (Line_2_6:Line_3_7),RLGC1[2 4] - (Line_2_6:Line_4_8),RLGC1[3 3] - (Line_3_7:Line_3_7),RLGC1[3 4] - (Line_3_7:Line_4_8),RLGC1[4 4] - (Line_4_8:Line_4_8)
8e+08,Resistance,0.107592,0.00866376,0.0034653,0.00109523,0.108873,0.0133042,0.00354344,0.108533,0.00863055,0.105168
8e+08,Inductance,2.08633e-09,7.58177e-10,2.30179e-10,1.25244e-10,2.07197e-09,4.69047e-10,2.30195e-10,2.07157e-09,7.58404e-10,2.08794e-09
8e+08,Conductance,3.45422e-05,-6.38056e-06,-3.99258e-08,1.33438e-08,3.46791e-05,-2.73067e-06,-3.98305e-08,3.46966e-05,-6.39208e-06,3.44724e-05
8e+08,Capacitance,4.29533e-13,-1.07141e-13,-4.2297e-15,-1.51998e-15,4.3727e-13,-5.10985e-14,-4.21444e-15,4.37404e-13,-1.07162e-13,4.28821e-13
9e+08,Resistance,0.114544,0.00911236,0.00364474,0.00113501,0.115891,0.0141193,0.00373234,0.115519,0.00907905,0.111854
9e+08,Inductance,2.08504e-09,7.58088e-10,2.30146e-10,1.25237e-10,2.07067e-09,4.68896e-10,2.3016e-10,2.07028e-09,7.58315e-10,2.0867e-09
9e+08,Conductance,3.88379e-05,-7.17013e-06,-4.39761e-08,1.63879e-08,3.89903e-05,-3.06741e-06,-4.38759e-08,3.901e-05,-7.18326e-06,3.87598e-05
9e+08,Capacitance,4.29023e-13,-1.0704e-13,-4.22453e-15,-1.51569e-15,4.36757e-13,-5.10526e-14,-4.20928e-15,4.3689e-13,-1.07061e-13,4.28312e-13
1e+09,Resistance,0.12122,0.00957411,0.00381319,0.00116992,0.122624,0.0149037,0.0039099,0.122225,0.00954166,0.118277
1e+09,Inductance,2.08397e-09,7.58018e-10,2.3012e-10,1.25233e-10,2.06958e-09,4.68771e-10,2.30133e-10,2.0692e-09,7.58244e-10,2.08566e-09
1e+09,Conductance,4.31548e-05,-7.96632e-06,-4.59185e-08,2.01236e-08,4.33248e-05,-3.4074e-06,-4.58083e-08,4.33465e-05,-7.98062e-06,4.30675e-05
1e+09,Capacitance,4.28572e-13,-1.06949e-13,-4.21892e-15,-1.5111e-15,4.36302e-13,-5.10107e-14,-4.20368e-15,4.36435e-13,-1.06969e-13,4.27861e-13
1.1e+09,Resistance,0.12759,0.00952981,0.00355668,0.000677618,0.129248,0.0155908,0.00363725,0.128802,0.00947238,0.124286
1.1e+09,Inductance,2.08349e-09,7.58193e-10,2.30045e-10,1.25199e-10,2.06908e-09,4.68769e-10,2.30059e-10,2.06871e-09,7.58421e-10,2.08521e-09
1.1e+09,Conductance,4.76084e-05,-8.75518e-06,-4.79038e-08,6.12935e-08,4.78067e-05,-3.99421e-06,-4.50591e-08,4.78366e-05,-8.78186e-06,4.7533e-05
1.1e+09,Capacitance,4.28327e-13,-1.06942e-13,-4.18275e-15,-1.50513e-15,4.3606e-13,-5.09959e-14,-4.16777e-15,4.36193e-13,-1.06962e-13,4.27615e-13
1.2e+09,Resistance,0.134089,0.00973409,0.00338538,0.000207384,0.135983,0.0163424,0.00344908,0.135492,0.00965098,0.130428
1.2e+09,Inductance,2.083e-09,7.58318e-10,2.29975e-10,1.25165e-10,2.06857e-09,4.68745e-10,2.2999e-10,2.0682e-09,7.58547e-10,2.08475e-09
1.2e+09,Conductance,5.22259e-05,-9.62699e-06,-5.58501e-08,1.1127e-07,5.24577e-05,-4.59749e-06,-5.00829e-08,5.24956e-05,-9.66539e-06,5.21608e-05
1.2e+09,Capacitance,4.28073e-13,-1.06923e-13,-4.15079e-15,-1.49791e-15,4.35808e-13,-5.09745e-14,-4.13594e-15,4.3594e-13,-1.06942e-13,4.2736e-13
1.3e+09,Resistance,0.140632,0.0101286,0.0032855,-0.000239238,0.142739,0.0171282,0.00333252,0.142204,0.0100196,0.136623
1.3e+09,Inductance,2.08251e-09,7.58402e-10,2.29912e-10,1.25132e-10,2.06805e-09,4.68708e-10,2.29926e-10,2.06768e-09,7.58632e-10,2.08428e-09
1.3e+09,Conductance,5.69612e-05,-1.0561e-05,-6.90395e-08,1.68379e-07,5.72305e-05,-5.20784e-06,-6.03197e-08,5.72761e-05,-1.06103e-05,5.69044e-05
1.3e+09,Capacitance,4.27813e-13,-1.06891e-13,-4.12252e-15,-1.48964e-15,4.35549e-13,-5.09481e-14,-4.10773e-15,4.35681e-13,-1.06909e-13,4.271e-13
1.4e+09,Resistance,0.147148,0.0106606,0.00324395,-0.000660935,0.14944,0.0179241,0.00327512,0.148865,0.0105262,0.142802
1.4e+09,Inductance,2.08201e-09,7.58452e-10,2.29854e-10,1.25101e-10,2.06753e-09,4.68661e-10,2.29869e-10,2.06716e-09,7.58684e-10,2.08381e-09
1.4e+09,Conductance,6.17738e-05,-1.15384e-05,-8.64852e-08,2.30902e-07,6.20838e-05,-5.8177e-06,-7.49161e-08,6.21365e-05,-1.15977e-05,6.17233e-05
1.4e+09,Capacitance,4.27552e-13,-1.06851e-13,-4.09749e-15,-1.48049e-15,4.35287e-13,-5.09182e-14,-4.08269e-15,4.35418e-13,-1.06868e-13,4.26838e-13
1.5e+09,Resistance,0.153578,0.0112847,0.00324898,-0.0010564,0.156026,0.0187117,0.00326561,0.155414,0.0111257,0.148908
1.5e+09,Inductance,2.08151e-09,7.58476e-10,2.29804e-10,1.25071e-10,2.06702e-09,4.68609e-10,2.29819e-10,2.06665e-09,7.58708e-10,2.08334e-09
1.5e+09,Conductance,6.66291e-05,-1.2543e-05,-1.07101e-07,2.97196e-07,6.69822e-05,-6.421e-06,-9.28727e-08,6.70418e-05,-1.26115e-05,6.6583e-05
1.5e+09,Capacitance,4.27291e-13,-1.06804e-13,-4.07527e-15,-1.47063e-15,4.35025e-13,-5.08859e-14,-4.06043e-15,4.35156e-13,-1.0682e-13,4.26576e-13
1.6e+09,Resistance,0.159876,0.0119632,0.00329043,-0.00142436,0.16245,0.0194765,0.00329409,0.161805,0.0117808,0.154898
1.6e+09,Inductance,2.08103e-09,7.58479e-10,2.29761e-10,1.25045e-10,2.06651e-09,4.68554e-10,2.29775e-10,2.06615e-09,7.58712e-10,2.08288e-09
1.6e+09,Conductance,7.14989e-05,-1.35612e-05,-1.2984e-07,3.65723e-07,7.18966e-05,-7.01299e-06,-1.13191e-07,7.19625e-05,-1.3638e-05,7.14552e-05
1.6e+09,Capacitance,4.27033e-13,-1.06751e-13,-4.05549e-15,-1.46022e-15,4.34765e-13,-5.08519e-14,-4.04058e-15,4.34895e-13,-1.06767e-13,4.26318e-13
1.7e+09,Resistance,0.166006,0.0126656,0.00335983,-0.00176354,0.168679,0.0202085,0.00335227,0.168004,0.0124612,0.160736
1.7e+09,Inductance,2.08056e-09,7.58467e-10,2.29725e-10,1.25022e-10,2.06602e-09,4.685e-10,2.29738e-10,2.06567e-09,7.58701e-10,2.08243e-09
1.7e+09,Conductance,7.636e-05,-1.4582e-05,-1.53691e-07,4.35098e-07,7.68032e-05,-7.58995e-06,-1.34895e-07,7.6875e-05,-1.46661e-05,7.63168e-05
1.7e+09,Capacitance,4.2678e-13,-1.06694e-13,-4.03781e-15,-1.44939e-15,4.34509e-13,-5.0817e-14,-4.02283e-15,4.34639e-13,-1.0671e-13,4.26065e-13
1.8e+09,Resistance,0.171943,0.0133681,0.00345023,-0.00207272,0.174688,0.0209005,0.00343325,0.173987,0.0131434,0.166399
1.8e+09,Inductance,2.0801e-09,7.58443e-10,2.29696e-10,1.25002e-10,2.06555e-09,4.68446e-10,2.29709e-10,2.0652e-09,7.58678e-10,2.08199e-09
1.8e+09,Conductance,8.11945e-05,-1.55963e-05,-1.77778e-07,5.04104e-07,8.16835e-05,-8.14911e-06,-1.57119e-07,8.17606e-05,-1.56871e-05,8.11501e-05
1.8e+09,Capacitance,4.26532e-13,-1.06635e-13,-4.02195e-15,-1.43827e-15,4.34259e-13,-5.07817e-14,-4.00689e-15,4.34389e-13,-1.0665e-13,4.25817e-13
1.9e+09,Resistance,0.177672,0.0140528,0.0035561,-0.00235078,0.180463,0.0215482,0.00353157,0.17974,0.0138095,0.171868
1.9e+09,Inductance,2.07966e-09,7.58412e-10,2.29674e-10,1.24987e-10,2.0651e-09,4.68395e-10,2.29686e-10,2.06475e-09,7.58648e-10,2.08157e-09
1.9e+09,Conductance,8.59888e-05,-1.65974e-05,-2.01323e-07,5.71679e-07,8.65231e-05,-8.68846e-06,-1.79085e-07,8.66051e-05,-1.6694e-05,8.59414e-05
1.9e+09,Capacitance,4.26292e-13,-1.06574e-13,-4.00767e-15,-1.42695e-15,4.34016e-13,-5.07463e-14,-3.99253e-15,4.34145e-13,-1.06589e-13,4.25577e-13
2e+09,Resistance,0.183183,0.0147067,0.00367317,-0.00259673,0.185999,0.0221493,0.00364291,0.185256,0.0144465,0.177136
2e+09,Inductance,2.07924e-09,7.58376e-10,2.29659e-10,1.24977e-10,2.06467e-09,4.68348e-10,2.2967e-10,2.06432e-09,7.58613e-10,2.08117e-09
2e+09,Conductance,9.07329e-05,-1.75802e-05,-2.23668e-07,6.36939e-07,9.13116e-05,-9.20661e-06,-2.00128e-07,9.1398e-05,-1.76819e-05,9.06811e-05
2e+09,Capacitance,4.2606e-13,-1.06512e-13,-3.99475e-15,-1.41554e-15,4.3378e-13,-5.07113e-14,-3.97953e-15,4.33909e-13,-1.06526e-13,4.25345e-13
2.1e+09,Resistance,0.188472,0.0153208,0.00379823,-0.00280977,0.191293,0.0227034,0.00376399,0.190534,0.0150455,0.182196
2.1e+09,Inductance,2.07884e-09,7.58338e-10,2.2965e-10,1.2497e-10,2.06426e-09,4.68305e-10,2.2966e-10,2.06392e-09,7.58575e-10,2.08078e-09
2.1e+09,Conductance,9.54201e-05,-1.85409e-05,-2.44268e-07,6.99132e-07,9.60419e-05,-9.70275e-06,-2.19691e-07,9.61323e-05,-1.86471e-05,9.53627e-05
2.1e+09,Capacitance,4.25836e-13,-1.06449e-13,-3.983e-15,-1.40409e-15,4.33552e-13,-5.06767e-14,-3.96771e-15,4.33681e-13,-1.06464e-13,4.25122e-13
2.2e+09,Resistance,0.19354,0.0158894,0.00392892,-0.00298926,0.19635,0.0232116,0.00389236,0.195579,0.015601,0.187051
2.2e+09,Inductance,2.07847e-09,7.583e-10,2.29647e-10,1.24969e-10,2.06388e-09,4.68267e-10,2.29657e-10,2.06353e-09,7.58537e-10,2.08042e-09
2.2e+09,Conductance,0.000100047,-1.94772e-05,-2.62682e-07,7.57667e-07,0.00010071,-1.01765e-05,-2.37325e-07,0.000100803,-1.95872e-05,9.99821e-05
