Frequency(Hz),Value Type:,RLGC1[1 1] - (Line_1_3:Line_1_3),RLGC1[1 2] - (Line_1_3:Line_2_4),RLGC1[2 2] - (Line_2_4:Line_2_4)
2.1e+09,Conductance,0.000266746,-6.44031e-05,0.000266746
2.1e+09,Capacitance,1.018e-12,-2.56304e-13,1.018e-12
2.2e+09,Resistance,0.69033,0.0459982,0.69033
2.2e+09,Inductance,5.29349e-09,1.96612e-09,5.29349e-09
2.2e+09,Conductance,0.000278285,-6.68501e-05,0.000278285
2.2e+09,Capacitance,1.018e-12,-2.56305e-13,1.018e-12
2.3e+09,Resistance,0.706247,0.0473166,0.706247
2.3e+09,Inductance,5.29272e-09,1.96607e-09,5.29272e-09
2.3e+09,Conductance,0.000289811,-6.93399e-05,0.000289811
2.3e+09,Capacitance,1.01799e-12,-2.56304e-13,1.01799e-12
2.4e+09,Resistance,0.721596,0.0480197,0.721596
2.4e+09,Inductance,5.29204e-09,1.96602e-09,5.29204e-09
2.4e+09,Conductance,0.000301305,-7.17135e-05,0.000301305
2.4e+09,Capacitance,1.018e-12,-2.56305e-13,1.018e-12
2.5e+09,Resistance,0.737039,0.0492749,0.737039
2.5e+09,Inductance,5.29134e-09,1.96597e-09,5.29134e-09
2.5e+09,Conductance,0.000312724,-7.41715e-05,0.000312724
2.5e+09,Capacitance,1.01798e-12,-2.56302e-13,1.01798e-12
2.6e+09,Resistance,0.751383,0.0498267,0.751383
2.6e+09,Inductance,5.29076e-09,1.96593e-09,5.29076e-09
2.6e+09,Conductance,0.000324252,-7.65592e-05,0.000324252
2.6e+09,Capacitance,1.01799e-12,-2.56304e-13,1.01799e-12
2.7e+09,Resistance,0.76667,0.0514799,0.76667
2.7e+09,Inductance,5.29016e-09,1.9659e-09,5.29016e-09
2.7e+09,Conductance,0.000335552,-7.89872e-05,0.000335552
2.7e+09,Capacitance,1.01799e-12,-2.56302e-13,1.01799e-12
2.8e+09,Resistance,0.780388,0.051999,0.780388
2.8e+09,Inductance,5.28964e-09,1.96586e-09,5.28964e-09
2.8e+09,Conductance,0.000347054,-8.13937e-05,0.000347054
2.8e+09,Capacitance,1.018e-12,-2.56302e-13,1.018e-12
2.9e+09,Resistance,0.794662,0.0531067,0.794662
2.9e+09,Inductance,5.28908e-09,1.96582e-09,5.28908e-09
2.9e+09,Conductance,0.000358382,-8.37499e-05,0.000358382
2.9e+09,Capacitance,1.01799e-12,-2.56302e-13,1.01799e-12
3e+09,Resistance,0.807982,0.0536185,0.807982
3e+09,Inductance,5.28862e-09,1.96579e-09,5.28862e-09
3e+09,Conductance,0.00036981,-8.61149e-05,0.00036981
3e+09,Capacitance,1.018e-12,-2.56303e-13,1.018e-12
3.1e+09,Resistance,0.822141,0.0551359,0.822141
3.1e+09,Inductance,5.28813e-09,1.96576e-09,5.28813e-09
3.1e+09,Conductance,0.000381066,-8.85006e-05,0.000381066
3.1e+09,Capacitance,1.01799e-12,-2.56301e-13,1.01799e-12
3.2e+09,Resistance,0.835405,0.056058,0.835405
3.2e+09,Inductance,5.28768e-09,1.96573e-09,5.28768e-09
3.2e+09,Conductance,0.000392401,-9.08387e-05,0.000392401
3.2e+09,Capacitance,1.01799e-12,-2.56302e-13,1.01799e-12
3.3e+09,Resistance,0.848549,0.0566714,0.848549
3.3e+09,Inductance,5.28725e-09,1.9657e-09,5.28725e-09
3.3e+09,Conductance,0.000403663,-9.31238e-05,0.000403663
3.3e+09,Capacitance,1.01799e-12,-2.56302e-13,1.01799e-12
3.4e+09,Resistance,0.861743,0.0578354,0.861743
3.4e+09,Inductance,5.28684e-09,1.96567e-09,5.28684e-09
3.4e+09,Conductance,0.000414924,-9.54832e-05,0.000414924
3.4e+09,Capacitance,1.01799e-12,-2.56301e-13,1.01799e-12
3.5e+09,Resistance,0.873643,0.0581167,0.873643
3.5e+09,Inductance,5.28645e-09,1.96564e-09,5.28645e-09
3.5e+09,Conductance,0.000426316,-9.77925e-05,0.000426316
3.5e+09,Capacitance,1.01799e-12,-2.56302e-13,1.01799e-12
3.6e+09,Resistance,0.886103,0.0588487,0.886103
3.6e+09,Inductance,5.28609e-09,1.96562e-09,5.28609e-09
3.6e+09,Conductance,0.000437581,-0.000100116,0.000437581
3.6e+09,Capacitance,1.01799e-12,-2.56302e-13,1.01799e-12
3.7e+09,Resistance,0.898281,0.0595599,0.898281
