Frequency(Hz),Value Type:,RLGC1[1 1] - (Line_1_3:Line_1_3),RLGC1[1 2] - (Line_1_3:Line_2_4),RLGC1[2 2] - (Line_2_4:Line_2_4)
2.1e+09,Conductance,0.00123064,-4.55707e-05,0.000370842
2.1e+09,Capacitance,1.01209e-12,-2.57023e-13,1.05914e-12
2.2e+09,Resistance,0.433663,-0.132801,-0.0113177
2.2e+09,Inductance,5.52361e-09,1.99838e-09,5.25754e-09
2.2e+09,Conductance,0.00044035,-3.98717e-05,-0.00018549
2.2e+09,Capacitance,1.05318e-12,-2.49441e-13,1.03531e-12
2.3e+09,Resistance,-0.520215,0.473932,3.12471
2.3e+09,Inductance,5.24894e-09,1.91613e-09,5.26852e-09
2.3e+09,Conductance,-0.000351809,-1.67651e-06,0.000680491
2.3e+09,Capacitance,1.02719e-12,-2.41685e-13,1.00661e-12
2.4e+09,Resistance,-4.38648,-0.893854,-0.349498
2.4e+09,Inductance,5.30097e-09,1.88691e-09,5.28187e-09
2.4e+09,Conductance,-0.000310747,0.000151911,4.98474e-06
2.4e+09,Capacitance,1.11532e-12,-2.4703e-13,1.03092e-12
2.5e+09,Resistance,-0.985561,0.045489,1.24209
2.5e+09,Inductance,5.19672e-09,1.92172e-09,5.30147e-09
2.5e+09,Conductance,-0.000175757,-7.75494e-05,0.000181738
2.5e+09,Capacitance,1.06531e-12,-2.59424e-13,1.00865e-12
2.6e+09,Resistance,1.7633,-0.639763,-1.19935
2.6e+09,Inductance,5.34881e-09,1.98847e-09,5.38646e-09
2.6e+09,Conductance,0.000455888,-7.10985e-05,0.000125841
2.6e+09,Capacitance,9.96039e-13,-2.56807e-13,1.04285e-12
2.7e+09,Resistance,1.38154,-0.443845,-1.47815
2.7e+09,Inductance,5.32413e-09,1.94942e-09,5.28156e-09
2.7e+09,Conductance,0.000231165,-2.83592e-05,4.35237e-05
2.7e+09,Capacitance,1.00178e-12,-2.51219e-13,1.04703e-12
2.8e+09,Resistance,2.904,-0.0358773,-1.56637
2.8e+09,Inductance,5.31933e-09,1.96214e-09,5.31414e-09
2.8e+09,Conductance,0.000794206,-5.79954e-05,-0.000321983
2.8e+09,Capacitance,1.0144e-12,-2.52733e-13,1.01651e-12
2.9e+09,Resistance,0.635821,0.817376,4.01518
2.9e+09,Inductance,5.26017e-09,1.98096e-09,5.33518e-09
2.9e+09,Conductance,0.000455644,-0.000197189,0.000810462
2.9e+09,Capacitance,1.03589e-12,-2.59612e-13,9.84334e-13
3e+09,Resistance,1.87782,1.16505,3.17296
3e+09,Inductance,5.27077e-09,1.9904e-09,5.27811e-09
3e+09,Conductance,0.000488154,-0.000175681,0.000627795
3e+09,Capacitance,1.02241e-12,-2.5923e-13,1.00107e-12
3.1e+09,Resistance,-3.01719,-0.908933,-0.665058
3.1e+09,Inductance,5.21031e-09,1.93179e-09,5.23321e-09
3.1e+09,Conductance,-0.000343878,-1.02372e-05,0.000237631
3.1e+09,Capacitance,1.04808e-12,-2.60065e-13,1.03268e-12
3.2e+09,Resistance,1.09226,0.111363,1.4766
3.2e+09,Inductance,5.25009e-09,1.97304e-09,5.31523e-09
3.2e+09,Conductance,0.000429545,-0.00013008,0.000656263
3.2e+09,Capacitance,1.0197e-12,-2.56846e-13,1.01833e-12
3.3e+09,Resistance,1.32092,0.145088,2.23641
3.3e+09,Inductance,5.35555e-09,2.02748e-09,5.34291e-09
3.3e+09,Conductance,0.00060779,-0.000190091,0.00058047
3.3e+09,Capacitance,1.0133e-12,-2.59511e-13,1.00371e-12
3.4e+09,Resistance,0.0132848,-0.338121,-1.94876
3.4e+09,Inductance,5.22712e-09,1.90717e-09,5.17229e-09
3.4e+09,Conductance,0.000295246,7.33583e-05,-4.13471e-05
3.4e+09,Capacitance,1.02938e-12,-2.55283e-13,1.0459e-12
3.5e+09,Resistance,-2.70722,-0.268455,4.12712
3.5e+09,Inductance,5.29433e-09,1.9721e-09,5.38335e-09
3.5e+09,Conductance,-0.000279279,-6.23937e-05,0.000989938
3.5e+09,Capacitance,1.01634e-12,-2.52086e-13,9.9698e-13
3.6e+09,Resistance,4.94666,0.602423,-0.782611
3.6e+09,Inductance,5.42374e-09,2.02451e-09,5.24765e-09
3.6e+09,Conductance,0.00106998,-0.000135461,9.55075e-05
3.6e+09,Capacitance,9.96967e-13,-2.62794e-13,1.03117e-12
3.7e+09,Resistance,0.0599833,0.992319,3.10985
3.7e+09,Inductance,5.17427e-09,1.92497e-09,5.26373e-09
3.7e+09,Conductance,9.8409e-05,-9.03369e-05,0.000776859
3.7e+09,Capacitance,1.03813e-12,-2.57436e-13,1.02026e-12
3.8e+09,Resistance,1.19073,-1.28808,-2.46212
3.8e+09,Inductance,5.34324e-09,1.97075e-09,5.27491e-09
3.8e+09,Conductance,0.000674911,-9.6262e-05,0.000134429
3.8e+09,Capacitance,1.00765e-12,-2.50409e-13,1.015e-12
3.9e+09,Resistance,-0.491184,-1.02461,2.26187
3.9e+09,Inductance,5.38876e-09,2.10593e-09,5.45221e-09
3.9e+09,Conductance,0.00043886,-0.000123547,0.000912669
3.9e+09,Capacitance,1.01626e-12,-2.70629e-13,1.00555e-12
4e+09,Resistance,1.22865,1.38125,2.73806
4e+09,Inductance,5.17216e-09,1.86094e-09,5.15078e-09
4e+09,Conductance,0.000498113,-8.39047e-05,0.000299103
4e+09,Capacitance,1.02792e-12,-2.47436e-13,1.03068e-12
4.1e+09,Resistance,5.81577,2.45894,3.3712
4.1e+09,Inductance,5.25143e-09,1.96175e-09,5.29263e-09
4.1e+09,Conductance,0.000819367,-0.00020405,0.000571022
4.1e+09,Capacitance,1.02413e-12,-2.52617e-13,1.02838e-12
4.2e+09,Resistance,-0.329185,-0.400364,-0.0568589
4.2e+09,Inductance,-1.22293e-08,-3.43234e-09,-1.20413e-08
4.2e+09,Conductance,-0.000723894,0.000199025,-1.46493e-06
4.2e+09,Capacitance,-2.58054e-12,8.57415e-13,-2.61463e-12
4.3e+09,Resistance,-0.486565,-1.35293,0.110214
4.3e+09,Inductance,5.38645e-09,1.98891e-09,5.27326e-09
4.3e+09,Conductance,0.000592715,-4.14314e-05,0.000488346
4.3e+09,Capacitance,1.01235e-12,-2.58976e-13,1.0146e-12
4.4e+09,Resistance,7.1816,1.63577,1.98416
4.4e+09,Inductance,5.54842e-09,2.11607e-09,5.32082e-09
4.4e+09,Conductance,0.00127183,-0.000398721,0.000634876
4.4e+09,Capacitance,1.01165e-12,-2.66601e-13,1.01714e-12
4.5e+09,Resistance,81.5772,-15.456,-85.9774
4.5e+09,Inductance,1.24937e-09,7.87748e-09,-1.82725e-09
4.5e+09,Conductance,0.018147,-0.00311608,-0.0169028
4.5e+09,Capacitance,-8.66872e-13,2.0392e-12,-1.55129e-12
4.6e+09,Resistance,1.80528,2.78315,3.65653
4.6e+09,Inductance,5.28332e-09,1.84641e-09,4.98034e-09
4.6e+09,Conductance,0.000469224,-0.000418622,-2.78119e-06
4.6e+09,Capacitance,1.02055e-12,-2.46925e-13,1.01837e-12
4.7e+09,Resistance,1.04525,1.06547,2.04177
4.7e+09,Inductance,5.15228e-09,1.93003e-09,5.27784e-09
4.7e+09,Conductance,0.000224246,-0.000239248,0.000746837
4.7e+09,Capacitance,1.01587e-12,-2.51801e-13,9.99446e-13
4.8e+09,Resistance,-1.99875,-0.361342,0.967026
4.8e+09,Inductance,5.26063e-09,1.92571e-09,5.27845e-09
4.8e+09,Conductance,0.000849803,-0.000320944,0.000764508
4.8e+09,Capacitance,1.0277e-12,-2.5195e-13,1.00581e-12
4.9e+09,Resistance,0.749792,2.68085,6.94534
4.9e+09,Inductance,5.19074e-09,1.91888e-09,5.23121e-09
4.9e+09,Conductance,0.00025445,-0.000337728,0.000702868
4.9e+09,Capacitance,1.00789e-12,-2.48536e-13,1.01237e-12
5e+09,Resistance,-2.08703,-1.95396,-1.59417
5e+09,Inductance,5.35152e-09,2.00957e-09,5.2269e-09
5e+09,Conductance,0.0011092,-5.79116e-05,0.000583505
5e+09,Capacitance,1.01258e-12,-2.64405e-13,1.01572e-12
5.1e+09,Resistance,4.28336,2.32006,-1.30919
5.1e+09,Inductance,5.30776e-09,1.875e-09,5.09861e-09
5.1e+09,Conductance,0.000689923,-0.000487417,0.000396149
5.1e+09,Capacitance,1.00329e-12,-2.43551e-13,1.02003e-12
5.2e+09,Resistance,0.745221,1.21406,3.50699
5.2e+09,Inductance,5.0556e-09,1.78316e-09,5.0577e-09
5.2e+09,Conductance,0.000183508,-2.01748e-05,-0.00011348
5.2e+09,Capacitance,1.02671e-12,-2.41438e-13,1.01684e-12
5.3e+09,Resistance,-0.291507,3.64956,8.84927
5.3e+09,Inductance,5.37144e-09,1.91255e-09,5.01497e-09
5.3e+09,Conductance,0.00125223,-0.000381845,-3.22681e-05
5.3e+09,Capacitance,1.01997e-12,-2.45943e-13,9.94472e-13
5.4e+09,Resistance,7.97217,5.79605,6.41476
5.4e+09,Inductance,5.23196e-09,1.91392e-09,5.13201e-09
5.4e+09,Conductance,0.000472308,-0.000679975,0.00042252
5.4e+09,Capacitance,1.00534e-12,-2.50637e-13,1.01546e-12
5.5e+09,Resistance,3.97997,2.81945,3.66158
5.5e+09,Inductance,5.49709e-09,1.93658e-09,4.99186e-09
5.5e+09,Conductance,0.000818839,-0.000338018,0.000115003
5.5e+09,Capacitance,1.01171e-12,-2.51727e-13,1.01509e-12
5.6e+09,Resistance,9.44139,4.75777,2.32049
5.6e+09,Inductance,5.10594e-09,1.88766e-09,5.14771e-09
5.6e+09,Conductance,0.000823143,-0.000606287,0.000429857
5.6e+09,Capacitance,1.01854e-12,-2.51431e-13,1.03101e-12
5.7e+09,Resistance,-3.07388,-4.30954,-1.34568
5.7e+09,Inductance,5.34601e-09,2.00657e-09,5.39494e-09
5.7e+09,Conductance,0.000611446,0.000345263,0.000911207
5.7e+09,Capacitance,1.0254e-12,-2.62294e-13,1.01464e-12
5.8e+09,Resistance,0.440881,-3.6049,-7.48217
5.8e+09,Inductance,5.16187e-09,1.88657e-09,5.22176e-09
5.8e+09,Conductance,0.000474892,0.000264666,0.00098028
5.8e+09,Capacitance,1.02301e-12,-2.53847e-13,1.03751e-12
5.9e+09,Resistance,-5.05558,-5.64597,-1.67968
5.9e+09,Inductance,5.52588e-09,2.05006e-09,5.33177e-09
5.9e+09,Conductance,0.000997941,0.000503246,0.00059903
5.9e+09,Capacitance,1.00307e-12,-2.62605e-13,1.01939e-12
6e+09,Resistance,6.49987,-1.44629,-7.58761
6e+09,Inductance,5.09325e-09,1.89882e-09,5.32613e-09
6e+09,Conductance,0.000388089,7.10824e-05,0.00104455
6e+09,Capacitance,1.02029e-12,-2.50022e-13,1.01635e-12
6.1e+09,Resistance,11.2175,17.3243,24.4044
6.1e+09,Inductance,-2.55881e-09,-6.23446e-09,-3.17694e-09
6.1e+09,Conductance,-0.00245795,-0.00191306,-0.000692836
6.1e+09,Capacitance,2.7212e-13,-1.06867e-12,1.53023e-13
6.2e+09,Resistance,135.048,-9.38985,-105.126
6.2e+09,Inductance,-3.78883e-09,-6.44388e-09,-1.12308e-09
6.2e+09,Conductance,0.0212268,-0.00930152,-0.0231358
6.2e+09,Capacitance,-1.58065e-13,-1.21203e-12,5.58096e-13
6.3e+09,Resistance,-15.9258,-3.50348,10.3346
6.3e+09,Inductance,5.40484e-09,2.0533e-09,5.32055e-09
6.3e+09,Conductance,0.00234507,7.00528e-05,-9.31668e-05
6.3e+09,Capacitance,1.01585e-12,-2.6594e-13,1.00994e-12
6.4e+09,Resistance,-6.90261,-6.04435,-4.01677
6.4e+09,Inductance,5.12868e-09,1.84841e-09,5.21252e-09
6.4e+09,Conductance,0.0015207,0.000382345,0.00120271
6.4e+09,Capacitance,1.03579e-12,-2.50251e-13,1.02369e-12
6.5e+09,Resistance,27.6591,38.4857,49.1832
6.5e+09,Inductance,-2.43038e-09,-5.64161e-09,-2.17579e-09
6.5e+09,Conductance,-0.00556451,-0.00379441,-0.00131763
6.5e+09,Capacitance,2.53856e-13,-1.01534e-12,2.75337e-13
6.6e+09,Resistance,-20.1311,-35.4077,-50.3176
6.6e+09,Inductance,5.09676e-09,1.6901e-09,4.86589e-09
6.6e+09,Conductance,0.00259103,0.00392767,0.00640892
6.6e+09,Capacitance,1.01604e-12,-2.57317e-13,1.04065e-12
6.7e+09,Resistance,38.7277,8.36023,-20.5704
6.7e+09,Inductance,8.32567e-09,5.00156e-09,8.21396e-09
6.7e+09,Conductance,-0.00240003,-0.000499071,0.00269834
6.7e+09,Capacitance,8.43979e-13,-4.33534e-13,8.53565e-13
6.8e+09,Resistance,63.8378,63.1202,60.0434
6.8e+09,Inductance,4.47799e-09,1.38694e-09,4.92654e-09
6.8e+09,Conductance,-0.00792062,-0.00791238,-0.00657909
6.8e+09,Capacitance,1.04567e-12,-2.65293e-13,9.7258e-13
6.9e+09,Resistance,22.6896,29.8596,37.1785
6.9e+09,Inductance,5.29598e-09,1.89753e-09,5.1232e-09
6.9e+09,Conductance,-0.00167761,-0.00325242,-0.00415438
6.9e+09,Capacitance,1.00129e-12,-2.63321e-13,1.02433e-12
7e+09,Resistance,-31.7088,-32.2849,-31.5328
7e+09,Inductance,-4.95787e-09,-1.13205e-09,-5.17327e-09
7e+09,Conductance,0.00337773,0.00387268,0.00303409
7e+09,Capacitance,-1.15393e-12,4.10017e-13,-1.10671e-12
7.1e+09,Resistance,-12.9843,-0.494974,10.1241
7.1e+09,Inductance,5.72847e-09,1.9857e-09,4.86143e-09
7.1e+09,Conductance,0.00296659,-0.000376868,-0.000390272
7.1e+09,Capacitance,9.35624e-13,-2.63727e-13,1.11187e-12
7.2e+09,Resistance,-8.02258,-16.4566,-21.6461
7.2e+09,Inductance,-6.33178e-09,-1.20894e-09,-3.80953e-09
7.2e+09,Conductance,-0.000261217,0.00170456,0.00494442
7.2e+09,Capacitance,-8.42604e-13,3.95451e-13,-1.35443e-12
7.3e+09,Resistance,-8.63833,-12.4916,-6.49976
7.3e+09,Inductance,5.05465e-09,1.80531e-09,5.18299e-09
7.3e+09,Conductance,0.00298604,0.00155984,0.0021346
7.3e+09,Capacitance,1.04941e-12,-2.32461e-13,1.01659e-12
7.4e+09,Resistance,-9.65998,7.72186,23.1829
7.4e+09,Inductance,5.50176e-09,1.84953e-09,5.32976e-09
7.4e+09,Conductance,0.00373937,-0.00108777,-0.00392495
7.4e+09,Capacitance,9.52764e-13,-2.1697e-13,9.81649e-13
7.5e+09,Resistance,0.411079,-4.50695,-16.4455
