R,L,G,C
25.31616443,4.07E-07,0.009372232,8.59E-11
0.146194992,2.47E-08,7.23E-06,-2.96E-13
0.681710215,4.53E-08,2.38E-05,-8.25E-13
1.945272983,1.49E-07,-0.001731766,-2.11E-11
24.58812207,4.11E-07,0.009354599,8.42E-11
1.20E+09,1.20E+09,1.20E+09,1.20E+09
26.46320012,4.10E-07,0.010248122,8.43E-11
2.020632625,1.49E-07,-0.001893793,-2.10E-11
26.52069742,4.07E-07,0.01020599,8.58E-11
0.546936829,4.53E-08,6.18E-05,-8.26E-13
3.343671707,9.23E-08,-0.0008752,-1.00E-11
26.42528229,4.07E-07,0.010212455,8.58E-11
0.04862027,2.47E-08,1.12E-05,-2.94E-13
0.572813552,4.53E-08,6.09E-05,-8.23E-13
2.011450383,1.49E-07,-0.001898792,-2.10E-11
25.75327162,4.10E-07,0.010233016,8.41E-11
1.30E+09,1.30E+09,1.30E+09,1.30E+09
27.58402771,4.10E-07,0.01112042,8.42E-11
2.088827534,1.49E-07,-0.002063656,-2.10E-11
27.54102338,4.07E-07,0.011042634,8.57E-11
0.416551442,4.53E-08,0.000102874,-8.24E-13
3.523810499,9.23E-08,-0.000976414,-1.00E-11
27.43818471,4.07E-07,0.011050155,8.57E-11
-0.060797013,2.47E-08,1.59E-05,-2.93E-13
0.446264686,4.53E-08,0.000101451,-8.21E-13
2.078588998,1.49E-07,-0.002069528,-2.10E-11
26.81368916,4.10E-07,0.011106015,8.41E-11
1.40E+09,1.40E+09,1.40E+09,1.40E+09
28.61624071,4.10E-07,0.011987241,8.41E-11
2.158152179,1.49E-07,-0.002236134,-2.10E-11
28.49205551,4.07E-07,0.01187866,8.57E-11
0.271284725,4.53E-08,0.000146638,-8.22E-13
3.690963973,9.23E-08,-0.001076632,-1.00E-11
28.38250014,4.07E-07,0.011887189,8.57E-11
-0.180351849,2.47E-08,2.12E-05,-2.91E-13
0.30507829,4.53E-08,0.000144607,-8.19E-13
2.14710065,1.49E-07,-0.002242735,-2.10E-11
27.7889296,4.10E-07,0.011973252,8.40E-11
1.50E+09,1.50E+09,1.50E+09,1.50E+09
29.57799064,4.10E-07,0.01284877,8.41E-11
2.228915191,1.49E-07,-0.002410173,-2.10E-11
29.39545078,4.07E-07,0.012715289,8.56E-11
0.114369615,4.53E-08,0.000192216,-8.21E-13
3.847015401,9.22E-08,-0.001175714,-1.00E-11
29.27986878,4.07E-07,0.012724771,8.56E-11
-0.30817145,2.46E-08,2.72E-05,-2.89E-13
0.152449733,4.53E-08,0.000189527,-8.18E-13
2.217283711,1.49E-07,-0.00241737,-2.10E-11
28.69715789,4.10E-07,0.012834888,8.39E-11
1.60E+09,1.60E+09,1.60E+09,1.60E+09
30.48533576,4.10E-07,0.013705439,8.40E-11
2.30130042,1.49E-07,-0.002584897,-2.10E-11
30.26771853,4.07E-07,0.013553233,8.55E-11
-0.050823609,4.53E-08,0.000238799,-8.20E-13
3.993573114,9.22E-08,-0.001273489,-1.00E-11
30.14676802,4.07E-07,0.013563606,8.56E-11
-0.442268587,2.46E-08,3.37E-05,-2.87E-13
-0.008294854,4.53E-08,0.00023541,-8.17E-13
2.289298681,1.49E-07,-0.002592569,-2.10E-11
29.55431663,4.10E-07,0.013691343,8.39E-11
1.70E+09,1.70E+09,1.70E+09,1.70E+09
31.35189918,4.09E-07,0.014557779,8.40E-11
2.375359832,1.49E-07,-0.002759578,-2.10E-11
31.12108936,4.07E-07,0.014392833,8.55E-11
-0.220824371,4.53E-08,0.000285598,-8.19E-13
4.131994239,9.22E-08,-0.001369756,-9.99E-12
30.99538778,4.07E-07,0.014404032,8.55E-11
-0.580582878,2.46E-08,4.08E-05,-2.85E-13
-0.173735559,4.53E-08,0.000281479,-8.16E-13
2.363165508,1.49E-07,-0.002767619,-2.10E-11
30.37382641,4.10E-07,0.014543155,8.38E-11
1.80E+09,1.80E+09,1.80E+09,1.80E+09
32.18885546,4.09E-07,0.015406343,8.39E-11
2.451023079,1.49E-07,-0.00293362,-2.10E-11
31.96432736,4.07E-07,0.015234171,8.55E-11
-0.3920955,4.53E-08,0.000331839,-8.19E-13
4.263427821,9.22E-08,-0.001464289,-9.99E-12
31.8344473,4.06E-07,0.015246132,8.55E-11
-0.721013813,2.46E-08,4.84E-05,-2.83E-13
-0.340392211,4.53E-08,0.000326974,-8.16E-13
2.438777036,1.49E-07,-0.002941941,-2.10E-11
31.16660626,4.10E-07,0.015390895,8.38E-11
1.90E+09,1.90E+09,1.90E+09,1.90E+09
33.00510089,4.09E-07,0.016251663,8.39E-11
2.52811757,1.49E-07,-0.00310654,-2.10E-11
32.80344411,4.06E-07,0.016077156,8.54E-11
-0.561069575,4.53E-08,0.000376767,-8.18E-13
4.388860161,9.22E-08,-0.001556844,-9.98E-12
32.6699123,4.06E-07,0.016089819,8.54E-11
-0.861448591,2.47E-08,5.66E-05,-2.81E-13
-0.504760361,4.53E-08,0.000371152,-8.15E-13
2.515922241,1.49E-07,-0.003115069,-2.10E-11
31.94127002,4.10E-07,0.016235116,8.38E-11
2.00E+09,2.00E+09,2.00E+09,2.00E+09
33.8075137,4.09E-07,0.017094226,8.39E-11
2.606393606,1.49E-07,-0.003277952,-2.10E-11
33.64230485,4.06E-07,0.016921596,8.54E-11
-0.724191671,4.53E-08,0.000419647,-8.18E-13
4.509154407,9.22E-08,-0.001647168,-9.97E-12
33.50560345,4.06E-07,0.016934902,8.54E-11
-0.99978714,2.47E-08,6.53E-05,-2.79E-13
-0.663353344,4.53E-08,0.000413295,-8.15E-13
2.594313766,1.49E-07,-0.00328663,-2.10E-11
32.70440586,4.10E-07,0.017076335,8.37E-11
2.10E+09,2.10E+09,2.10E+09,2.10E+09
34.60124574,4.09E-07,0.017934468,8.38E-11
2.685550343,1.49E-07,-0.003447548,-2.09E-11
34.48313199,4.06E-07,0.017767237,8.53E-11
-0.877970635,4.53E-08,0.000459772,-8.17E-13
4.625081204,9.22E-08,-0.001735009,-9.97E-12
34.3437012,4.06E-07,0.017781135,8.54E-11
-1.133966041,2.47E-08,7.47E-05,-2.77E-13
-0.812752447,4.53E-08,0.000452711,-8.14E-13
2.673615596,1.49E-07,-0.003456334,-2.09E-11
33.46088186,4.10E-07,0.017915016,8.37E-11
2.20E+09,2.20E+09,2.20E+09,2.20E+09
35.39001164,4.09E-07,0.01877277,8.38E-11
2.765259735,1.49E-07,-0.003615094,-2.09E-11
35.32691637,4.06E-07,0.018613804,8.53E-11
-1.019039643,4.53E-08,0.000496471,-8.17E-13
4.737339703,9.22E-08,-0.001820121,-9.96E-12
35.18515797,4.06E-07,0.018628247,8.53E-11
-1.261982512,2.47E-08,8.46E-05,-2.75E-13
-0.949665853,4.53E-08,0.000488747,-8.14E-13
2.753468132,1.49E-07,-0.003623959,-2.09E-11
34.21414434,4.10E-07,0.018751572,8.36E-11
2.30E+09,2.30E+09,2.30E+09,2.30E+09
36.17635637,4.09E-07,0.019609461,8.37E-11
