Frequency(Hz),Value Type:,RLGC1[1 1] - (Line_1_5:Line_1_5),RLGC1[1 2] - (Line_1_5:Line_2_6),RLGC1[1 3] - (Line_1_5:Line_3_7),RLGC1[1 4] - (Line_1_5:Line_4_8),RLGC1[2 2] - (Line_2_6:Line_2_6),RLGC1[2 3] - (Line_2_6:Line_3_7),RLGC1[2 4] - (Line_2_6:Line_4_8),RLGC1[3 3] - (Line_3_7:Line_3_7),RLGC1[3 4] - (Line_3_7:Line_4_8),RLGC1[4 4] - (Line_4_8:Line_4_8)
8e+08,Inductance,2.08962e-09,7.60217e-10,2.31794e-10,1.26733e-10,2.0751e-09,4.70874e-10,2.31811e-10,2.07473e-09,7.60444e-10,2.09115e-09
8e+08,Conductance,3.45077e-05,-6.37292e-06,-3.95405e-08,1.34567e-08,3.46482e-05,-2.7268e-06,-3.94589e-08,3.46643e-05,-6.38364e-06,3.44415e-05
8e+08,Capacitance,4.29725e-13,-1.07177e-13,-4.23171e-15,-1.52041e-15,4.37507e-13,-5.11185e-14,-4.217e-15,4.3763e-13,-1.07198e-13,4.29052e-13
9e+08,Resistance,0.114965,0.00980369,0.00429426,0.0017695,0.116375,0.0147589,0.00438084,0.116019,0.00978306,0.112419
9e+08,Inductance,2.08833e-09,7.60119e-10,2.31752e-10,1.26718e-10,2.07379e-09,4.70714e-10,2.31767e-10,2.07343e-09,7.60345e-10,2.08989e-09
9e+08,Conductance,3.87999e-05,-7.16161e-06,-4.33429e-08,1.6278e-08,3.89566e-05,-3.0628e-06,-4.32746e-08,3.89743e-05,-7.17365e-06,3.87257e-05
9e+08,Capacitance,4.29215e-13,-1.07076e-13,-4.22649e-15,-1.51601e-15,4.36993e-13,-5.10726e-14,-4.21178e-15,4.37116e-13,-1.07097e-13,4.28543e-13
1e+09,Resistance,0.121759,0.0104059,0.00459587,0.00193195,0.123228,0.0156771,0.00469126,0.122843,0.010386,0.118972
1e+09,Inductance,2.08725e-09,7.60039e-10,2.31716e-10,1.26704e-10,2.07269e-09,4.70579e-10,2.3173e-10,2.07234e-09,7.60265e-10,2.08884e-09
1e+09,Conductance,4.31115e-05,-7.95644e-06,-4.53212e-08,2.07088e-08,4.3286e-05,-3.40247e-06,-4.5215e-08,4.33062e-05,-7.96982e-06,4.30288e-05
1e+09,Capacitance,4.28764e-13,-1.06985e-13,-4.22066e-15,-1.51125e-15,4.36539e-13,-5.10305e-14,-4.20595e-15,4.36661e-13,-1.07006e-13,4.28092e-13
1.1e+09,Resistance,0.128575,0.0106596,0.00422231,0.00149659,0.129411,0.0168263,0.00432867,0.12895,0.0105771,0.125508
1.1e+09,Inductance,2.08618e-09,7.60031e-10,2.31699e-10,1.26652e-10,2.07149e-09,4.70485e-10,2.31712e-10,2.07115e-09,7.60258e-10,2.0878e-09
1.1e+09,Conductance,4.75949e-05,-8.7352e-06,1.04645e-07,6.31801e-08,4.75276e-05,-3.9189e-06,1.0186e-07,4.75528e-05,-8.74052e-06,4.75018e-05
1.1e+09,Capacitance,4.28373e-13,-1.06931e-13,-4.21387e-15,-1.49417e-15,4.36115e-13,-5.09887e-14,-4.19922e-15,4.36235e-13,-1.06951e-13,4.27703e-13
1.2e+09,Resistance,0.13477,0.0109819,0.00382715,0.000984891,0.135018,0.0179893,0.00394446,0.134491,0.0108393,0.131419
1.2e+09,Inductance,2.08526e-09,7.60028e-10,2.31694e-10,1.26606e-10,2.0705e-09,4.70397e-10,2.31706e-10,2.07016e-09,7.60257e-10,2.0869e-09
1.2e+09,Conductance,5.20585e-05,-9.54944e-06,2.64655e-07,1.22748e-07,5.1755e-05,-4.44099e-06,2.58827e-07,5.17838e-05,-9.54709e-06,5.19584e-05
1.2e+09,Capacitance,4.28008e-13,-1.06876e-13,-4.21069e-15,-1.47684e-15,4.35733e-13,-5.09465e-14,-4.19605e-15,4.35852e-13,-1.06896e-13,4.2734e-13
1.3e+09,Resistance,0.140447,0.0113781,0.00343523,0.000406648,0.140224,0.0191618,0.00356353,0.139642,0.0111792,0.136817
1.3e+09,Inductance,2.08445e-09,7.60027e-10,2.31698e-10,1.26567e-10,2.06967e-09,4.70316e-10,2.31709e-10,2.06935e-09,7.60257e-10,2.08612e-09
1.3e+09,Conductance,5.64968e-05,-1.03912e-05,4.26524e-07,2.00546e-07,5.59774e-05,-4.96205e-06,4.176e-07,5.60088e-05,-1.03816e-05,5.63912e-05
1.3e+09,Capacitance,4.27669e-13,-1.06821e-13,-4.21008e-15,-1.45959e-15,4.35387e-13,-5.09044e-14,-4.1954e-15,4.35504e-13,-1.0684e-13,4.27001e-13
1.4e+09,Resistance,0.145711,0.0118475,0.00306795,-0.000227567,0.145166,0.0203396,0.00320735,0.144537,0.0115968,0.14181
1.4e+09,Inductance,2.08375e-09,7.60025e-10,2.31709e-10,1.26533e-10,2.06898e-09,4.70238e-10,2.31718e-10,2.06866e-09,7.60255e-10,2.08544e-09
1.4e+09,Conductance,6.09079e-05,-1.12528e-05,5.83286e-07,2.97059e-07,6.02006e-05,-5.47658e-06,5.71299e-07,6.0234e-05,-1.12363e-05,6.07976e-05
1.4e+09,Capacitance,4.27353e-13,-1.06764e-13,-4.21109e-15,-1.44267e-15,4.35069e-13,-5.08628e-14,-4.19636e-15,4.35186e-13,-1.06783e-13,4.26685e-13
1.5e+09,Resistance,0.150657,0.0123849,0.00274301,-0.00090673,0.149948,0.0215178,0.00289358,0.149279,0.0120876,0.146497
