Frequency(Hz),Value Type:,RLGC1[1 1] - (Line_1_2:Line_1_2)
3.8e+09,Inductance,3.7403e-09
3.8e+09,Conductance,0.000685546
3.8e+09,Capacitance,1.47719e-12
3.9e+09,Resistance,0.479847
3.9e+09,Inductance,3.74014e-09
3.9e+09,Conductance,0.000702813
3.9e+09,Capacitance,1.47719e-12
4e+09,Resistance,0.486044
4e+09,Inductance,3.73996e-09
4e+09,Conductance,0.000720058
4e+09,Capacitance,1.47719e-12
4.1e+09,Resistance,0.492138
4.1e+09,Inductance,3.73981e-09
4.1e+09,Conductance,0.0007373
4.1e+09,Capacitance,1.47719e-12
4.2e+09,Resistance,0.498177
4.2e+09,Inductance,3.73964e-09
4.2e+09,Conductance,0.000754527
4.2e+09,Capacitance,1.47719e-12
4.3e+09,Resistance,0.504125
4.3e+09,Inductance,3.73951e-09
4.3e+09,Conductance,0.000771747
4.3e+09,Capacitance,1.47719e-12
4.4e+09,Resistance,0.510018
4.4e+09,Inductance,3.73936e-09
4.4e+09,Conductance,0.000788957
4.4e+09,Capacitance,1.47719e-12
4.5e+09,Resistance,0.515853
4.5e+09,Inductance,3.73921e-09
4.5e+09,Conductance,0.000806153
4.5e+09,Capacitance,1.47719e-12
4.6e+09,Resistance,0.521587
4.6e+09,Inductance,3.73909e-09
4.6e+09,Conductance,0.000823352
4.6e+09,Capacitance,1.47719e-12
4.7e+09,Resistance,0.527289
4.7e+09,Inductance,3.73896e-09
4.7e+09,Conductance,0.000840529
4.7e+09,Capacitance,1.47719e-12
4.8e+09,Resistance,0.532925
4.8e+09,Inductance,3.73882e-09
4.8e+09,Conductance,0.000857701
4.8e+09,Capacitance,1.47719e-12
4.9e+09,Resistance,0.538479
4.9e+09,Inductance,3.73872e-09
4.9e+09,Conductance,0.000874875
4.9e+09,Capacitance,1.4772e-12
5e+09,Resistance,0.544002
5e+09,Inductance,3.7386e-09
5e+09,Conductance,0.000892031
5e+09,Capacitance,1.47719e-12
5.1e+09,Resistance,0.549465
5.1e+09,Inductance,3.73848e-09
5.1e+09,Conductance,0.00090918
5.1e+09,Capacitance,1.47719e-12
5.2e+09,Resistance,0.554881
5.2e+09,Inductance,3.73836e-09
5.2e+09,Conductance,0.000926322
5.2e+09,Capacitance,1.47719e-12
5.3e+09,Resistance,0.56024
5.3e+09,Inductance,3.73825e-09
5.3e+09,Conductance,0.000943457
5.3e+09,Capacitance,1.47719e-12
5.4e+09,Resistance,0.56551
5.4e+09,Inductance,3.73816e-09
5.4e+09,Conductance,0.000960598
5.4e+09,Capacitance,1.4772e-12
5.5e+09,Resistance,0.570777
5.5e+09,Inductance,3.73806e-09
5.5e+09,Conductance,0.000977718
5.5e+09,Capacitance,1.4772e-12
5.6e+09,Resistance,0.575981
5.6e+09,Inductance,3.73796e-09
5.6e+09,Conductance,0.000994834
5.6e+09,Capacitance,1.47719e-12
5.7e+09,Resistance,0.581145
5.7e+09,Inductance,3.73786e-09
5.7e+09,Conductance,0.00101194
5.7e+09,Capacitance,1.47719e-12
5.8e+09,Resistance,0.586265
5.8e+09,Inductance,3.73776e-09
5.8e+09,Conductance,0.00102905
5.8e+09,Capacitance,1.47719e-12
5.9e+09,Resistance,0.591329
5.9e+09,Inductance,3.73766e-09
5.9e+09,Conductance,0.00104614
5.9e+09,Capacitance,1.47719e-12
6e+09,Resistance,0.596359
6e+09,Inductance,3.73757e-09
6e+09,Conductance,0.00106323
6e+09,Capacitance,1.47719e-12
6.1e+09,Resistance,0.601365
6.1e+09,Inductance,3.73749e-09
6.1e+09,Conductance,0.00108032
6.1e+09,Capacitance,1.47719e-12
6.2e+09,Resistance,0.606302
6.2e+09,Inductance,3.7374e-09
6.2e+09,Conductance,0.0010974
6.2e+09,Capacitance,1.47719e-12
6.3e+09,Resistance,0.611208
6.3e+09,Inductance,3.73731e-09
6.3e+09,Conductance,0.00111447
6.3e+09,Capacitance,1.47719e-12
6.4e+09,Resistance,0.616078
6.4e+09,Inductance,3.73723e-09
6.4e+09,Conductance,0.00113154
6.4e+09,Capacitance,1.47719e-12
6.5e+09,Resistance,0.620913
6.5e+09,Inductance,3.73715e-09
6.5e+09,Conductance,0.0011486
6.5e+09,Capacitance,1.47719e-12
6.6e+09,Resistance,0.625709
6.6e+09,Inductance,3.73707e-09
6.6e+09,Conductance,0.00116566
6.6e+09,Capacitance,1.47719e-12
6.7e+09,Resistance,0.630387
6.7e+09,Inductance,3.737e-09
6.7e+09,Conductance,0.00118274
6.7e+09,Capacitance,1.47719e-12
6.8e+09,Resistance,0.635024
6.8e+09,Inductance,3.73692e-09
6.8e+09,Conductance,0.00119982
6.8e+09,Capacitance,1.47719e-12
6.9e+09,Resistance,0.639762
6.9e+09,Inductance,3.73685e-09
6.9e+09,Conductance,0.00121685
6.9e+09,Capacitance,1.47719e-12
7e+09,Resistance,0.644428
7e+09,Inductance,3.73678e-09
7e+09,Conductance,0.00123388
7e+09,Capacitance,1.47719e-12
7.1e+09,Resistance,0.649061
7.1e+09,Inductance,3.73671e-09
7.1e+09,Conductance,0.00125091
7.1e+09,Capacitance,1.47719e-12
7.2e+09,Resistance,0.653645
7.2e+09,Inductance,3.73664e-09
7.2e+09,Conductance,0.00126794
7.2e+09,Capacitance,1.47719e-12
7.3e+09,Resistance,0.658206
7.3e+09,Inductance,3.73658e-09
7.3e+09,Conductance,0.00128496
7.3e+09,Capacitance,1.47719e-12
7.4e+09,Resistance,0.662732
7.4e+09,Inductance,3.73651e-09
7.4e+09,Conductance,0.00130198
7.4e+09,Capacitance,1.47719e-12
7.5e+09,Resistance,0.667224
7.5e+09,Inductance,3.73645e-09
7.5e+09,Conductance,0.00131901
7.5e+09,Capacitance,1.47719e-12
7.6e+09,Resistance,0.671678
7.6e+09,Inductance,3.73638e-09
7.6e+09,Conductance,0.00133602
7.6e+09,Capacitance,1.47719e-12
7.7e+09,Resistance,0.676104
7.7e+09,Inductance,3.73632e-09
7.7e+09,Conductance,0.00135303
7.7e+09,Capacitance,1.47719e-12
7.8e+09,Resistance,0.680519
