Frequency(Hz),Value Type:,RLGC1[1 1] - (Line_1_5:Line_1_5),RLGC1[1 2] - (Line_1_5:Line_2_6),RLGC1[1 3] - (Line_1_5:Line_3_7),RLGC1[1 4] - (Line_1_5:Line_4_8),RLGC1[2 2] - (Line_2_6:Line_2_6),RLGC1[2 3] - (Line_2_6:Line_3_7),RLGC1[2 4] - (Line_2_6:Line_4_8),RLGC1[3 3] - (Line_3_7:Line_3_7),RLGC1[3 4] - (Line_3_7:Line_4_8),RLGC1[4 4] - (Line_4_8:Line_4_8)
1.8e+08,Inductance,1.32919e-08,4.15566e-09,9.19304e-09,3.53271e-09,1.33223e-08,3.53562e-09,9.1948e-09,1.3292e-08,3.04167e-09,1.33099e-08
1.8e+08,Conductance,2.49183e-05,-1.9628e-06,-1.47285e-05,-5.51547e-07,2.3822e-05,-5.26363e-07,-1.37694e-05,2.4778e-05,-4.16422e-08,2.36884e-05
1.8e+08,Capacitance,1.58065e-12,-1.57856e-13,-9.34387e-13,-4.71988e-14,1.57713e-12,-4.73655e-14,-9.30904e-13,1.55114e-12,-1.82506e-14,1.54731e-12
1.9e+08,Resistance,0.17168,0.0395006,0.0148228,0.0247234,0.175357,0.0248622,0.0159791,0.169675,0.0155663,0.172824
1.9e+08,Inductance,1.32883e-08,4.15517e-09,9.19321e-09,3.53259e-09,1.33187e-08,3.53552e-09,9.19493e-09,1.32885e-08,3.0418e-09,1.33063e-08
1.9e+08,Conductance,2.64338e-05,-2.08693e-06,-1.56181e-05,-5.86895e-07,2.52699e-05,-5.64332e-07,-1.46018e-05,2.62654e-05,-4.10937e-08,2.51253e-05
1.9e+08,Capacitance,1.58062e-12,-1.57857e-13,-9.34326e-13,-4.72031e-14,1.57714e-12,-4.73727e-14,-9.30876e-13,1.5511e-12,-1.82571e-14,1.54731e-12
2e+08,Resistance,0.178459,0.0424821,0.0174439,0.0272355,0.182151,0.0274526,0.0184732,0.176543,0.0178456,0.179512
2e+08,Inductance,1.32847e-08,4.15466e-09,9.19316e-09,3.53243e-09,1.3315e-08,3.53536e-09,9.19486e-09,1.3285e-08,3.04187e-09,1.33026e-08
2e+08,Conductance,2.79609e-05,-2.21691e-06,-1.64964e-05,-6.23813e-07,2.67457e-05,-6.04744e-07,-1.54361e-05,2.77621e-05,-4.304e-08,2.65872e-05
