Frequency,R11,R12,R21,R22,L11,L12,L21,L22,G11,G12,G21,G22,C11,C12,C21,C22
2.70E+09,1.14E+02,0.00E+00,0.00E+00,1.14E+02,4.30E-07,0.00E+00,0.00E+00,4.30E-07,2.14E-02,0.00E+00,0.00E+00,2.14E-02,7.55E-11,0.00E+00,0.00E+00,7.55E-11
2.80E+09,1.16E+02,0.00E+00,0.00E+00,1.16E+02,4.30E-07,0.00E+00,0.00E+00,4.30E-07,2.22E-02,0.00E+00,0.00E+00,2.22E-02,7.55E-11,0.00E+00,0.00E+00,7.55E-11
2.90E+09,1.18E+02,0.00E+00,0.00E+00,1.18E+02,4.30E-07,0.00E+00,0.00E+00,4.30E-07,2.30E-02,0.00E+00,0.00E+00,2.30E-02,7.55E-11,0.00E+00,0.00E+00,7.55E-11
3.00E+09,1.21E+02,0.00E+00,0.00E+00,1.21E+02,4.30E-07,0.00E+00,0.00E+00,4.30E-07,2.38E-02,0.00E+00,0.00E+00,2.38E-02,7.55E-11,0.00E+00,0.00E+00,7.55E-11
3.10E+09,1.23E+02,0.00E+00,0.00E+00,1.23E+02,4.30E-07,0.00E+00,0.00E+00,4.30E-07,2.46E-02,0.00E+00,0.00E+00,2.46E-02,7.55E-11,0.00E+00,0.00E+00,7.55E-11
3.20E+09,1.25E+02,0.00E+00,0.00E+00,1.25E+02,4.30E-07,0.00E+00,0.00E+00,4.30E-07,2.54E-02,0.00E+00,0.00E+00,2.54E-02,7.55E-11,0.00E+00,0.00E+00,7.55E-11
3.30E+09,1.27E+02,0.00E+00,0.00E+00,1.27E+02,4.30E-07,0.00E+00,0.00E+00,4.30E-07,2.62E-02,0.00E+00,0.00E+00,2.62E-02,7.55E-11,0.00E+00,0.00E+00,7.55E-11
3.40E+09,1.28E+02,0.00E+00,0.00E+00,1.28E+02,4.30E-07,0.00E+00,0.00E+00,4.30E-07,2.70E-02,0.00E+00,0.00E+00,2.70E-02,7.55E-11,0.00E+00,0.00E+00,7.55E-11
3.50E+09,1.30E+02,0.00E+00,0.00E+00,1.30E+02,4.30E-07,0.00E+00,0.00E+00,4.30E-07,2.78E-02,0.00E+00,0.00E+00,2.78E-02,7.55E-11,0.00E+00,0.00E+00,7.55E-11
3.60E+09,1.32E+02,0.00E+00,0.00E+00,1.32E+02,4.29E-07,0.00E+00,0.00E+00,4.29E-07,2.86E-02,0.00E+00,0.00E+00,2.86E-02,7.55E-11,0.00E+00,0.00E+00,7.55E-11
3.70E+09,1.34E+02,0.00E+00,0.00E+00,1.34E+02,4.29E-07,0.00E+00,0.00E+00,4.29E-07,2.94E-02,0.00E+00,0.00E+00,2.94E-02,7.55E-11,0.00E+00,0.00E+00,7.55E-11
3.80E+09,1.36E+02,0.00E+00,0.00E+00,1.36E+02,4.29E-07,0.00E+00,0.00E+00,4.29E-07,3.02E-02,0.00E+00,0.00E+00,3.02E-02,7.55E-11,0.00E+00,0.00E+00,7.55E-11
3.90E+09,1.38E+02,0.00E+00,0.00E+00,1.38E+02,4.29E-07,0.00E+00,0.00E+00,4.29E-07,3.10E-02,0.00E+00,0.00E+00,3.10E-02,7.55E-11,0.00E+00,0.00E+00,7.55E-11
4.00E+09,1.40E+02,0.00E+00,0.00E+00,1.40E+02,4.29E-07,0.00E+00,0.00E+00,4.29E-07,3.18E-02,0.00E+00,0.00E+00,3.18E-02,7.55E-11,0.00E+00,0.00E+00,7.55E-11
4.10E+09,1.41E+02,0.00E+00,0.00E+00,1.41E+02,4.29E-07,0.00E+00,0.00E+00,4.29E-07,3.26E-02,0.00E+00,0.00E+00,3.26E-02,7.55E-11,0.00E+00,0.00E+00,7.55E-11
4.20E+09,1.43E+02,0.00E+00,0.00E+00,1.43E+02,4.29E-07,0.00E+00,0.00E+00,4.29E-07,3.34E-02,0.00E+00,0.00E+00,3.34E-02,7.55E-11,0.00E+00,0.00E+00,7.55E-11
