Frequency(Hz),Value Type:,RLGC1[1 1] - ( Model1 ),RLGC1[1 2] - ( Model1 ),RLGC1[2 2] - ( Model2 )
4.1e+09,Capacitance,1.9467e-12,-4.06138e-13,1.9467e-12
4.3e+09,Resistance,2.85497,0.259431,2.85497
4.3e+09,Inductance,1.07362e-08,3.51259e-09,1.07362e-08
4.3e+09,Conductance,0.0010401,-0.000195857,0.0010401
4.3e+09,Capacitance,1.94669e-12,-4.0614e-13,1.94669e-12
4.5e+09,Resistance,2.92112,0.265488,2.92112
4.5e+09,Inductance,1.07346e-08,3.51244e-09,1.07346e-08
4.5e+09,Conductance,0.00108407,-0.000203075,0.00108407
4.5e+09,Capacitance,1.94669e-12,-4.0614e-13,1.94669e-12
4.7e+09,Resistance,2.98593,0.271458,2.98593
4.7e+09,Inductance,1.07331e-08,3.5123e-09,1.07331e-08
4.7e+09,Conductance,0.00112792,-0.000210252,0.00112792
4.7e+09,Capacitance,1.94669e-12,-4.06138e-13,1.94669e-12
4.9e+09,Resistance,3.04892,0.277082,3.04892
4.9e+09,Inductance,1.07317e-08,3.51218e-09,1.07317e-08
4.9e+09,Conductance,0.00117175,-0.000217386,0.00117175
4.9e+09,Capacitance,1.94669e-12,-4.0614e-13,1.94669e-12
5.1e+09,Resistance,3.111,0.282964,3.111
5.1e+09,Inductance,1.07303e-08,3.51205e-09,1.07303e-08
5.1e+09,Conductance,0.00121542,-0.000224528,0.00121542
5.1e+09,Capacitance,1.9467e-12,-4.06139e-13,1.9467e-12
5.3e+09,Resistance,3.17187,0.288344,3.17187
5.3e+09,Inductance,1.07291e-08,3.51193e-09,1.07291e-08
5.3e+09,Conductance,0.00125899,-0.000231525,0.00125899
5.3e+09,Capacitance,1.94669e-12,-4.06138e-13,1.94669e-12
5.5e+09,Resistance,3.23122,0.293638,3.23122
5.5e+09,Inductance,1.07279e-08,3.51183e-09,1.07279e-08
5.5e+09,Conductance,0.00130252,-0.000238563,0.00130252
5.5e+09,Capacitance,1.94669e-12,-4.06138e-13,1.94669e-12
5.7e+09,Resistance,3.29024,0.299293,3.29024
5.7e+09,Inductance,1.07268e-08,3.51173e-09,1.07268e-08
5.7e+09,Conductance,0.00134591,-0.000245548,0.00134591
5.7e+09,Capacitance,1.94669e-12,-4.06138e-13,1.94669e-12
5.9e+09,Resistance,3.3478,0.304604,3.3478
5.9e+09,Inductance,1.07257e-08,3.51164e-09,1.07257e-08
5.9e+09,Conductance,0.00138927,-0.000252505,0.00138927
5.9e+09,Capacitance,1.94669e-12,-4.06139e-13,1.94669e-12
6.1e+09,Resistance,3.40413,0.309795,3.40413
6.1e+09,Inductance,1.07247e-08,3.51153e-09,1.07247e-08
6.1e+09,Conductance,0.00143261,-0.000259459,0.00143261
6.1e+09,Capacitance,1.9467e-12,-4.06137e-13,1.9467e-12
6.3e+09,Resistance,3.4597,0.314939,3.4597
6.3e+09,Inductance,1.07238e-08,3.51144e-09,1.07238e-08
6.3e+09,Conductance,0.00147585,-0.000266386,0.00147585
6.3e+09,Capacitance,1.9467e-12,-4.06137e-13,1.9467e-12
6.5e+09,Resistance,3.51399,0.319018,3.51399
6.5e+09,Inductance,1.07229e-08,3.51136e-09,1.07229e-08
6.5e+09,Conductance,0.00151901,-0.0002731,0.00151901
6.5e+09,Capacitance,1.94669e-12,-4.06136e-13,1.94669e-12
6.7e+09,Resistance,3.5684,0.324554,3.5684
6.7e+09,Inductance,1.07221e-08,3.51134e-09,1.07221e-08
6.7e+09,Conductance,0.00156206,-0.000280012,0.00156206
6.7e+09,Capacitance,1.94669e-12,-4.06143e-13,1.94669e-12
6.9e+09,Resistance,3.62229,0.330448,3.62229
6.9e+09,Inductance,1.07212e-08,3.51123e-09,1.07212e-08
6.9e+09,Conductance,0.00160504,-0.000286977,0.00160504
6.9e+09,Capacitance,1.94669e-12,-4.06139e-13,1.94669e-12
7.1e+09,Resistance,3.6734,0.333738,3.6734
7.1e+09,Inductance,1.07203e-08,3.51112e-09,1.07203e-08
7.1e+09,Conductance,0.00164814,-0.000293556,0.00164814
7.1e+09,Capacitance,1.9467e-12,-4.06135e-13,1.9467e-12
7.3e+09,Resistance,3.72457,0.338959,3.72457
7.3e+09,Inductance,1.07196e-08,3.51107e-09,1.07196e-08
