Frequency(Hz),Value Type:,RLGC1[1 1] - ( Model1 ),RLGC1[1 2] - ( Model1 ),RLGC1[2 2] - ( Model2 )
2.07e+10,Conductance,0.00450409,-0.000726402,0.00450409
2.07e+10,Capacitance,1.9467e-12,-4.06136e-13,1.9467e-12
2.09e+10,Resistance,6.31085,0.576589,6.31085
2.09e+10,Inductance,1.06973e-08,3.50902e-09,1.06973e-08
2.09e+10,Conductance,0.00454548,-0.000732999,0.00454548
2.09e+10,Capacitance,1.9467e-12,-4.06137e-13,1.9467e-12
2.11e+10,Resistance,6.34141,0.579125,6.34141
2.11e+10,Inductance,1.06971e-08,3.50901e-09,1.06971e-08
2.11e+10,Conductance,0.00458677,-0.000739035,0.00458677
2.11e+10,Capacitance,1.9467e-12,-4.06137e-13,1.9467e-12
2.13e+10,Resistance,6.36876,0.579486,6.36876
2.13e+10,Inductance,1.0697e-08,3.509e-09,1.0697e-08
2.13e+10,Conductance,0.00462852,-0.000744895,0.00462852
2.13e+10,Capacitance,1.9467e-12,-4.06136e-13,1.9467e-12
2.15e+10,Resistance,6.39936,0.583784,6.39936
2.15e+10,Inductance,1.06969e-08,3.50899e-09,1.06969e-08
2.15e+10,Conductance,0.00466993,-0.000751294,0.00466993
2.15e+10,Capacitance,1.9467e-12,-4.06138e-13,1.9467e-12
2.17e+10,Resistance,6.42938,0.586091,6.42938
2.17e+10,Inductance,1.06967e-08,3.50897e-09,1.06967e-08
2.17e+10,Conductance,0.00471119,-0.000757251,0.00471119
2.17e+10,Capacitance,1.9467e-12,-4.06136e-13,1.9467e-12
2.19e+10,Resistance,6.45928,0.589274,6.45928
2.19e+10,Inductance,1.06966e-08,3.50896e-09,1.06966e-08
2.19e+10,Conductance,0.00475255,-0.000763433,0.00475255
2.19e+10,Capacitance,1.9467e-12,-4.06138e-13,1.9467e-12
2.21e+10,Resistance,6.48881,0.592067,6.48881
2.21e+10,Inductance,1.06964e-08,3.50896e-09,1.06964e-08
2.21e+10,Conductance,0.00479394,-0.000769542,0.00479394
2.21e+10,Capacitance,1.9467e-12,-4.0614e-13,1.9467e-12
2.23e+10,Resistance,6.51718,0.593163,6.51718
2.23e+10,Inductance,1.06963e-08,3.50893e-09,1.06963e-08
2.23e+10,Conductance,0.00483533,-0.000775399,0.00483533
2.23e+10,Capacitance,1.9467e-12,-4.06138e-13,1.9467e-12
2.25e+10,Resistance,6.54649,0.596071,6.54649
2.25e+10,Inductance,1.06961e-08,3.50892e-09,1.06961e-08
2.25e+10,Conductance,0.00487668,-0.000781513,0.00487668
2.25e+10,Capacitance,1.9467e-12,-4.06138e-13,1.9467e-12
2.27e+10,Resistance,6.57439,0.59964,6.57439
2.27e+10,Inductance,1.0696e-08,3.50889e-09,1.0696e-08
2.27e+10,Conductance,0.00491836,-0.000787916,0.00491836
2.27e+10,Capacitance,1.9467e-12,-4.06134e-13,1.9467e-12
2.29e+10,Resistance,6.60281,0.600878,6.60281
2.29e+10,Inductance,1.06959e-08,3.50888e-09,1.06959e-08
2.29e+10,Conductance,0.00495967,-0.00079378,0.00495967
2.29e+10,Capacitance,1.9467e-12,-4.06133e-13,1.9467e-12
2.31e+10,Resistance,6.63244,0.605569,6.63244
2.31e+10,Inductance,1.06957e-08,3.50888e-09,1.06957e-08
2.31e+10,Conductance,0.00500104,-0.000800226,0.00500104
2.31e+10,Capacitance,1.9467e-12,-4.06136e-13,1.9467e-12
2.33e+10,Resistance,6.66388,0.604939,6.66388
2.33e+10,Inductance,1.06956e-08,3.50888e-09,1.06956e-08
2.33e+10,Conductance,0.00504142,-0.000805286,0.00504142
2.33e+10,Capacitance,1.9467e-12,-4.06139e-13,1.9467e-12
2.35e+10,Resistance,6.69364,0.613828,6.69364
2.35e+10,Inductance,1.06954e-08,3.50883e-09,1.06954e-08
2.35e+10,Conductance,0.00508318,-0.000812584,0.00508318
2.35e+10,Capacitance,1.94671e-12,-4.06133e-13,1.94671e-12
2.37e+10,Resistance,6.71928,0.612858,6.71928
2.37e+10,Inductance,1.06954e-08,3.50887e-09,1.06954e-08
2.37e+10,Conductance,0.00512467,-0.000818198,0.00512467
2.37e+10,Capacitance,1.9467e-12,-4.0614e-13,1.9467e-12
2.39e+10,Resistance,6.74846,0.616312,6.74846
2.39e+10,Inductance,1.06952e-08,3.50884e-09,1.06952e-08
2.39e+10,Conductance,0.00516586,-0.000824331,0.00516586
2.39e+10,Capacitance,1.9467e-12,-4.06138e-13,1.9467e-12
2.41e+10,Resistance,6.77362,0.615259,6.77362
2.41e+10,Inductance,1.06951e-08,3.50883e-09,1.06951e-08
2.41e+10,Conductance,0.00520743,-0.000829929,0.00520743
2.41e+10,Capacitance,1.9467e-12,-4.06138e-13,1.9467e-12
2.43e+10,Resistance,6.80381,0.62107,6.80381
2.43e+10,Inductance,1.0695e-08,3.50882e-09,1.0695e-08
2.43e+10,Conductance,0.00524857,-0.000836448,0.00524857
2.43e+10,Capacitance,1.9467e-12,-4.06137e-13,1.9467e-12
2.45e+10,Resistance,6.83199,0.623452,6.83199
2.45e+10,Inductance,1.06948e-08,3.50881e-09,1.06948e-08
2.45e+10,Conductance,0.0052898,-0.000842476,0.0052898
2.45e+10,Capacitance,1.9467e-12,-4.06139e-13,1.9467e-12
2.47e+10,Resistance,6.8597,0.625849,6.8597
2.47e+10,Inductance,1.06947e-08,3.5088e-09,1.06947e-08
2.47e+10,Conductance,0.00533107,-0.0008485,0.00533107
2.47e+10,Capacitance,1.9467e-12,-4.06138e-13,1.9467e-12
2.49e+10,Resistance,6.88837,0.628225,6.88837
2.49e+10,Inductance,1.06946e-08,3.50877e-09,1.06946e-08
2.49e+10,Conductance,0.00537211,-0.000854407,0.00537211
2.49e+10,Capacitance,1.9467e-12,-4.06136e-13,1.9467e-12
2.51e+10,Resistance,6.91591,0.630643,6.91591
2.51e+10,Inductance,1.06945e-08,3.50876e-09,1.06945e-08
2.51e+10,Conductance,0.00541339,-0.000860432,0.00541339
2.51e+10,Capacitance,1.9467e-12,-4.06137e-13,1.9467e-12
2.53e+10,Resistance,6.94345,0.633374,6.94345
2.53e+10,Inductance,1.06944e-08,3.50876e-09,1.06944e-08
2.53e+10,Conductance,0.00545463,-0.000866518,0.00545463
2.53e+10,Capacitance,1.9467e-12,-4.06138e-13,1.9467e-12
2.55e+10,Resistance,6.97013,0.636577,6.97013
2.55e+10,Inductance,1.06943e-08,3.50875e-09,1.06943e-08
2.55e+10,Conductance,0.00549609,-0.000872796,0.00549609
2.55e+10,Capacitance,1.9467e-12,-4.06137e-13,1.9467e-12
2.57e+10,Resistance,6.99694,0.638226,6.99694
2.57e+10,Inductance,1.06941e-08,3.50874e-09,1.06941e-08
2.57e+10,Conductance,0.00553733,-0.000878705,0.00553733
2.57e+10,Capacitance,1.94671e-12,-4.06139e-13,1.94671e-12
2.59e+10,Resistance,7.02467,0.640537,7.02467
2.59e+10,Inductance,1.0694e-08,3.50874e-09,1.0694e-08
2.59e+10,Conductance,0.00557839,-0.000884621,0.00557839
2.59e+10,Capacitance,1.9467e-12,-4.06139e-13,1.9467e-12
2.61e+10,Resistance,7.05333,0.643535,7.05333
2.61e+10,Inductance,1.06939e-08,3.50871e-09,1.06939e-08
2.61e+10,Conductance,0.00561933,-0.000890559,0.00561933
2.61e+10,Capacitance,1.9467e-12,-4.06136e-13,1.9467e-12
2.63e+10,Resistance,7.0776,0.645069,7.0776
2.63e+10,Inductance,1.06938e-08,3.50871e-09,1.06938e-08
2.63e+10,Conductance,0.00566102,-0.00089672,0.00566102
2.63e+10,Capacitance,1.9467e-12,-4.06138e-13,1.9467e-12
2.65e+10,Resistance,9.43074,2.97531,9.43074
2.65e+10,Inductance,8.88228e-09,1.69729e-09,8.88228e-09
2.65e+10,Conductance,0.00544999,-0.00115545,0.00544999
2.65e+10,Capacitance,1.75019e-12,-6.02659e-13,1.75019e-12
2.67e+10,Resistance,10.4549,1.97901,10.4549
2.67e+10,Inductance,7.861e-09,2.74561e-09,7.861e-09
2.67e+10,Conductance,0.00516437,-0.000834521,0.00516437
2.67e+10,Capacitance,1.41276e-12,-2.62292e-13,1.41276e-12
2.69e+10,Resistance,12.8133,4.31511,12.8133
2.69e+10,Inductance,6.09751e-09,9.66826e-10,6.09751e-09
2.69e+10,Conductance,0.00495282,-0.00109392,0.00495282
2.69e+10,Capacitance,1.22313e-12,-4.5696e-13,1.22313e-12
2.71e+10,Resistance,13.8423,3.31964,13.8423
2.71e+10,Inductance,5.11188e-09,2.00504e-09,5.11188e-09
2.71e+10,Conductance,0.00466613,-0.000772578,0.00466613
2.71e+10,Capacitance,8.94566e-13,-1.22684e-13,8.94566e-13
2.73e+10,Resistance,13.8714,3.32069,13.8714
2.73e+10,Inductance,5.15269e-09,2.01606e-09,5.15269e-09
2.73e+10,Conductance,0.00470659,-0.000778028,0.00470659
2.73e+10,Capacitance,9.02269e-13,-1.24759e-13,9.02269e-13
2.75e+10,Resistance,16.2374,5.65853,16.2374
2.75e+10,Inductance,3.44743e-09,2.81414e-10,3.44743e-09
2.75e+10,Conductance,0.00449342,-0.00103696,0.00449342
2.75e+10,Capacitance,7.2048e-13,-3.16182e-13,7.2048e-13
2.77e+10,Resistance,17.2713,4.66045,17.2713
2.77e+10,Inductance,2.5023e-09,1.30208e-09,2.5023e-09
2.77e+10,Conductance,0.00420529,-0.000714445,0.00420529
2.77e+10,Capacitance,4.02657e-13,9.84258e-15,4.02657e-13
2.79e+10,Resistance,17.3038,4.66217,17.3038
2.79e+10,Inductance,2.56096e-09,1.31789e-09,2.56096e-09
2.79e+10,Conductance,0.00424502,-0.000719632,0.00424502
2.79e+10,Capacitance,4.13717e-13,6.86445e-15,4.13717e-13
2.81e+10,Resistance,17.3363,4.66476,17.3363
2.81e+10,Inductance,2.61878e-09,1.33347e-09,2.61878e-09
2.81e+10,Conductance,0.00428475,-0.000724965,0.00428475
2.81e+10,Capacitance,4.2462e-13,3.92841e-15,4.2462e-13
2.83e+10,Resistance,19.7067,7.00492,19.7067
2.83e+10,Inductance,9.79647e-10,-3.47294e-10,9.79647e-10
2.83e+10,Conductance,0.00407076,-0.000983869,0.00407076
2.83e+10,Capacitance,2.51341e-13,-1.82993e-13,2.51341e-13
2.85e+10,Resistance,19.7401,7.00862,19.7401
2.85e+10,Inductance,1.04776e-09,-3.20237e-10,1.04776e-09
2.85e+10,Conductance,0.00411039,-0.000989327,0.00411039
2.85e+10,Capacitance,2.6323e-13,-1.84555e-13,2.6323e-13
2.87e+10,Resistance,19.7733,7.01223,19.7733
2.87e+10,Inductance,1.11491e-09,-2.93556e-10,1.11491e-09
2.87e+10,Conductance,0.00415002,-0.000994792,0.00415002
2.87e+10,Capacitance,2.74953e-13,-1.86096e-13,2.74953e-13
2.89e+10,Resistance,19.8065,7.01591,19.8065
2.89e+10,Inductance,1.18114e-09,-2.67244e-10,1.18114e-09
2.89e+10,Conductance,0.00418963,-0.00100024,0.00418963
2.89e+10,Capacitance,2.86514e-13,-1.87616e-13,2.86514e-13
2.91e+10,Resistance,20.8485,6.01066,20.8485
2.91e+10,Inductance,2.97116e-10,7.08047e-10,2.97116e-10
2.91e+10,Conductance,0.00389874,-0.000675191,0.00389874
2.91e+10,Capacitance,-1.30522e-14,1.21853e-13,-1.30522e-14
2.93e+10,Resistance,23.2253,8.35603,23.2253
2.93e+10,Inductance,-1.27018e-09,-9.11053e-10,-1.27018e-09
2.93e+10,Conductance,0.00368382,-0.000934493,0.00368382
2.93e+10,Capacitance,-1.77435e-13,-5.9496e-14,-1.77435e-13
2.95e+10,Resistance,23.2601,8.35966,23.2601
2.95e+10,Inductance,-1.18912e-09,-8.81093e-10,-1.18912e-09
2.95e+10,Conductance,0.003723,-0.000939736,0.003723
2.95e+10,Capacitance,-1.63044e-13,-6.18418e-14,-1.63044e-13
2.97e+10,Resistance,23.2944,8.36296,23.2944
2.97e+10,Inductance,-1.10916e-09,-8.51535e-10,-1.10916e-09
2.97e+10,Conductance,0.00376224,-0.000944957,0.00376224
2.97e+10,Capacitance,-1.48846e-13,-6.41563e-14,-1.48846e-13
2.99e+10,Resistance,23.329,8.36668,23.329
2.99e+10,Inductance,-1.03026e-09,-8.2237e-10,-1.03026e-09
2.99e+10,Conductance,0.00380143,-0.000950214,0.00380143
2.99e+10,Capacitance,-1.3484e-13,-6.64402e-14,-1.3484e-13
3.01e+10,Resistance,23.3639,8.37101,23.3639
3.01e+10,Inductance,-9.52411e-10,-7.93595e-10,-9.52411e-10
3.01e+10,Conductance,0.00384057,-0.000955561,0.00384057
3.01e+10,Capacitance,-1.21018e-13,-6.86935e-14,-1.21018e-13
3.03e+10,Resistance,23.3976,8.37421,23.3976
3.03e+10,Inductance,-8.75591e-10,-7.65199e-10,-8.75591e-10
3.03e+10,Conductance,0.00387986,-0.000960764,0.00387986
3.03e+10,Capacitance,-1.0738e-13,-7.09171e-14,-1.0738e-13
3.05e+10,Resistance,23.4312,8.37742,23.4312
3.05e+10,Inductance,-7.99782e-10,-7.37178e-10,-7.99782e-10
3.05e+10,Conductance,0.00391913,-0.000965988,0.00391913
3.05e+10,Capacitance,-9.39194e-14,-7.31113e-14,-9.39194e-14
3.07e+10,Resistance,23.465,8.38092,23.465
3.07e+10,Inductance,-7.2496e-10,-7.09521e-10,-7.2496e-10
3.07e+10,Conductance,0.00395839,-0.000971261,0.00395839
3.07e+10,Capacitance,-8.06345e-14,-7.52772e-14,-8.06345e-14
3.09e+10,Resistance,23.4984,8.38436,23.4984
3.09e+10,Inductance,-6.51103e-10,-6.82219e-10,-6.51103e-10
3.09e+10,Conductance,0.00399768,-0.000976502,0.00399768
3.09e+10,Capacitance,-6.75219e-14,-7.74154e-14,-6.75219e-14
3.11e+10,Resistance,23.5319,8.3879,23.5319
3.11e+10,Inductance,-5.78202e-10,-6.55272e-10,-5.78202e-10
3.11e+10,Conductance,0.00403696,-0.000981782,0.00403696
3.11e+10,Capacitance,-5.45774e-14,-7.95256e-14,-5.45774e-14
3.13e+10,Resistance,23.565,8.39113,23.565
3.13e+10,Inductance,-5.06232e-10,-6.28668e-10,-5.06232e-10
3.13e+10,Conductance,0.00407625,-0.000987021,0.00407625
3.13e+10,Capacitance,-4.17985e-14,-8.16092e-14,-4.17985e-14
3.15e+10,Resistance,23.5979,8.39444,23.5979
3.15e+10,Inductance,-4.35176e-10,-6.02402e-10,-4.35176e-10
3.15e+10,Conductance,0.00411557,-0.000992307,0.00411557
3.15e+10,Capacitance,-2.91817e-14,-8.36664e-14,-2.91817e-14
3.17e+10,Resistance,23.6308,8.39788,23.6308
3.17e+10,Inductance,-3.65017e-10,-5.76467e-10,-3.65017e-10
3.17e+10,Conductance,0.0041549,-0.000997598,0.0041549
3.17e+10,Capacitance,-1.67241e-14,-8.56975e-14,-1.67241e-14
3.19e+10,Resistance,23.6637,8.40134,23.6637
3.19e+10,Inductance,-2.95739e-10,-5.50858e-10,-2.95739e-10
3.19e+10,Conductance,0.00419422,-0.00100288,0.00419422
3.19e+10,Capacitance,-4.42258e-15,-8.77032e-14,-4.42258e-15
3.21e+10,Resistance,23.6962,8.40463,23.6962
3.21e+10,Inductance,-2.27324e-10,-5.25568e-10,-2.27324e-10
3.21e+10,Conductance,0.00423358,-0.00100818,0.00423358
3.21e+10,Capacitance,7.72566e-15,-8.9684e-14,7.72566e-15
3.23e+10,Resistance,23.7286,8.40794,23.7286
3.23e+10,Inductance,-1.59759e-10,-5.00591e-10,-1.59759e-10
3.23e+10,Conductance,0.00427294,-0.00101348,0.00427294
3.23e+10,Capacitance,1.97237e-14,-9.16402e-14,1.97237e-14
3.25e+10,Resistance,23.7609,8.41127,23.7609
3.25e+10,Inductance,-9.3024e-11,-4.75922e-10,-9.3024e-11
3.25e+10,Conductance,0.00431227,-0.00101878,0.00431227
3.25e+10,Capacitance,3.15741e-14,-9.35725e-14,3.15741e-14
3.27e+10,Resistance,23.7931,8.41454,23.7931
3.27e+10,Inductance,-2.71073e-11,-4.51555e-10,-2.71073e-11
3.27e+10,Conductance,0.00435166,-0.00102407,0.00435166
3.27e+10,Capacitance,4.32796e-14,-9.54812e-14,4.32796e-14
3.29e+10,Resistance,23.825,8.41792,23.825
3.29e+10,Inductance,3.80079e-11,-4.27484e-10,3.80079e-11
3.29e+10,Conductance,0.00439102,-0.00102938,0.00439102
3.29e+10,Capacitance,5.48427e-14,-9.73665e-14,5.48427e-14
3.31e+10,Resistance,23.8569,8.42111,23.8569
3.31e+10,Inductance,1.02336e-10,-4.03704e-10,1.02336e-10
3.31e+10,Conductance,0.00443042,-0.00103468,0.00443042
3.31e+10,Capacitance,6.62662e-14,-9.92291e-14,6.62662e-14
3.33e+10,Resistance,23.8886,8.42436,23.8886
3.33e+10,Inductance,1.65891e-10,-3.8021e-10,1.65891e-10
3.33e+10,Conductance,0.0044698,-0.00103998,0.0044698
3.33e+10,Capacitance,7.75527e-14,-1.0107e-13,7.75527e-14
3.35e+10,Resistance,23.9201,8.42764,23.9201
3.35e+10,Inductance,2.28685e-10,-3.56995e-10,2.28685e-10
3.35e+10,Conductance,0.00450922,-0.00104531,0.00450922
3.35e+10,Capacitance,8.87044e-14,-1.02888e-13,8.87044e-14
3.37e+10,Resistance,23.9515,8.43088,23.9515
3.37e+10,Inductance,2.90735e-10,-3.34058e-10,2.90735e-10
3.37e+10,Conductance,0.00454866,-0.00105063,0.00454866
3.37e+10,Capacitance,9.97238e-14,-1.04685e-13,9.97238e-14
3.39e+10,Resistance,23.9827,8.43407,23.9827
3.39e+10,Inductance,3.52051e-10,-3.1139e-10,3.52051e-10
3.39e+10,Conductance,0.0045881,-0.00105597,0.0045881
3.39e+10,Capacitance,1.10613e-13,-1.06461e-13,1.10613e-13
3.41e+10,Resistance,24.0139,8.43724,24.0139
3.41e+10,Inductance,4.12647e-10,-2.88988e-10,4.12647e-10
3.41e+10,Conductance,0.00462753,-0.00106129,0.00462753
3.41e+10,Capacitance,1.21375e-13,-1.08215e-13,1.21375e-13
3.43e+10,Resistance,24.0449,8.4404,24.0449
3.43e+10,Inductance,4.72538e-10,-2.66848e-10,4.72538e-10
3.43e+10,Conductance,0.00466694,-0.00106658,0.00466694
3.43e+10,Capacitance,1.32011e-13,-1.09949e-13,1.32011e-13
3.45e+10,Resistance,24.0757,8.44377,24.0757
3.45e+10,Inductance,5.31731e-10,-2.44964e-10,5.31731e-10
3.45e+10,Conductance,0.00470648,-0.00107198,0.00470648
3.45e+10,Capacitance,1.42525e-13,-1.11664e-13,1.42525e-13
3.47e+10,Resistance,24.1065,8.44672,24.1065
3.47e+10,Inductance,5.90244e-10,-2.23335e-10,5.90244e-10
3.47e+10,Conductance,0.00474589,-0.00107728,0.00474589
3.47e+10,Capacitance,1.52916e-13,-1.13358e-13,1.52916e-13
3.49e+10,Resistance,24.1372,8.44981,24.1372
3.49e+10,Inductance,6.48085e-10,-2.01952e-10,6.48085e-10
3.49e+10,Conductance,0.00478534,-0.0010826,0.00478534
3.49e+10,Capacitance,1.63189e-13,-1.15033e-13,1.63189e-13
3.51e+10,Resistance,24.1675,8.45309,24.1675
3.51e+10,Inductance,7.05264e-10,-1.80811e-10,7.05264e-10
3.51e+10,Conductance,0.00482485,-0.00108799,0.00482485
3.51e+10,Capacitance,1.73345e-13,-1.1669e-13,1.73345e-13
3.53e+10,Resistance,24.1981,8.45617,24.1981
3.53e+10,Inductance,7.61797e-10,-1.59911e-10,7.61797e-10
3.53e+10,Conductance,0.00486431,-0.0010933,0.00486431
3.53e+10,Capacitance,1.83386e-13,-1.18327e-13,1.83386e-13
3.55e+10,Resistance,24.2283,8.45926,24.2283
3.55e+10,Inductance,8.17693e-10,-1.39247e-10,8.17693e-10
3.55e+10,Conductance,0.0049038,-0.00109864,0.0049038
3.55e+10,Capacitance,1.93314e-13,-1.19946e-13,1.93314e-13
3.57e+10,Resistance,24.2583,8.46213,24.2583
3.57e+10,Inductance,8.7296e-10,-1.18814e-10,8.7296e-10
3.57e+10,Conductance,0.0049433,-0.00110398,0.0049433
3.57e+10,Capacitance,2.03131e-13,-1.21547e-13,2.03131e-13
3.59e+10,Resistance,24.2884,8.46531,24.2884
3.59e+10,Inductance,9.27613e-10,-9.86101e-11,9.27613e-10
3.59e+10,Conductance,0.00498281,-0.00110933,0.00498281
3.59e+10,Capacitance,2.12838e-13,-1.2313e-13,2.12838e-13
3.61e+10,Resistance,24.3182,8.46813,24.3182
3.61e+10,Inductance,9.81659e-10,-7.86281e-11,9.81659e-10
3.61e+10,Conductance,0.00502231,-0.00111467,0.00502231
3.61e+10,Capacitance,2.22438e-13,-1.24696e-13,2.22438e-13
3.63e+10,Resistance,24.3478,8.4715,24.3478
3.63e+10,Inductance,1.03511e-09,-5.88677e-11,1.03511e-09
3.63e+10,Conductance,0.00506187,-0.00112008,0.00506187
3.63e+10,Capacitance,2.31932e-13,-1.26244e-13,2.31932e-13
3.65e+10,Resistance,24.3777,8.47445,24.3777
3.65e+10,Inductance,1.08797e-09,-3.93226e-11,1.08797e-09
3.65e+10,Conductance,0.00510135,-0.00112541,0.00510135
3.65e+10,Capacitance,2.41322e-13,-1.27775e-13,2.41322e-13
3.67e+10,Resistance,24.4071,8.4773,24.4071
3.67e+10,Inductance,1.14026e-09,-1.99913e-11,1.14026e-09
3.67e+10,Conductance,0.0051409,-0.00113075,0.0051409
3.67e+10,Capacitance,2.50609e-13,-1.2929e-13,2.50609e-13
3.69e+10,Resistance,24.4364,8.48019,24.4364
3.69e+10,Inductance,1.19198e-09,-8.71215e-13,1.19198e-09
3.69e+10,Conductance,0.00518042,-0.00113608,0.00518042
3.69e+10,Capacitance,2.59797e-13,-1.30788e-13,2.59797e-13
3.71e+10,Resistance,24.4654,8.48274,24.4654
3.71e+10,Inductance,1.24314e-09,1.8046e-11,1.24314e-09
3.71e+10,Conductance,0.00521999,-0.0011414,0.00521999
3.71e+10,Capacitance,2.68885e-13,-1.3227e-13,2.68885e-13
3.73e+10,Resistance,24.4952,8.48625,24.4952
3.73e+10,Inductance,1.29376e-09,3.67567e-11,1.29376e-09
3.73e+10,Conductance,0.00525948,-0.00114682,0.00525948
3.73e+10,Capacitance,2.77875e-13,-1.33736e-13,2.77875e-13
3.75e+10,Resistance,24.5238,8.48926,24.5238
3.75e+10,Inductance,1.34383e-09,5.52682e-11,1.34383e-09
3.75e+10,Conductance,0.00529915,-0.00115224,0.00529915
3.75e+10,Capacitance,2.86771e-13,-1.35187e-13,2.86771e-13
3.77e+10,Resistance,24.5528,8.49232,24.5528
3.77e+10,Inductance,1.39337e-09,7.3585e-11,1.39337e-09
3.77e+10,Conductance,0.00533871,-0.00115763,0.00533871
3.77e+10,Capacitance,2.95571e-13,-1.36622e-13,2.95571e-13
3.79e+10,Resistance,24.5818,8.4952,24.5818
3.79e+10,Inductance,1.44239e-09,9.17088e-11,1.44239e-09
3.79e+10,Conductance,0.00537825,-0.00116298,0.00537825
3.79e+10,Capacitance,3.04279e-13,-1.38042e-13,3.04279e-13
3.81e+10,Resistance,24.6103,8.49814,24.6103
3.81e+10,Inductance,1.49089e-09,1.09641e-10,1.49089e-09
3.81e+10,Conductance,0.00541786,-0.00116838,0.00541786
3.81e+10,Capacitance,3.12895e-13,-1.39447e-13,3.12895e-13
3.83e+10,Resistance,24.6396,8.50028,24.6396
3.83e+10,Inductance,1.53889e-09,1.27385e-10,1.53889e-09
3.83e+10,Conductance,0.00545724,-0.00117355,0.00545724
3.83e+10,Capacitance,3.21421e-13,-1.40837e-13,3.21421e-13
3.85e+10,Resistance,24.6671,8.50434,24.6671
3.85e+10,Inductance,1.58638e-09,1.44947e-10,1.58638e-09
3.85e+10,Conductance,0.0054972,-0.00117928,0.0054972
3.85e+10,Capacitance,3.29859e-13,-1.42214e-13,3.29859e-13
3.87e+10,Resistance,24.6958,8.50656,24.6958
3.87e+10,Inductance,1.63339e-09,1.62327e-10,1.63339e-09
3.87e+10,Conductance,0.00553665,-0.00118449,0.00553665
3.87e+10,Capacitance,3.3821e-13,-1.43576e-13,3.3821e-13
3.89e+10,Resistance,24.7244,8.50978,24.7244
3.89e+10,Inductance,1.67991e-09,1.79526e-10,1.67991e-09
3.89e+10,Conductance,0.0055762,-0.0011899,0.0055762
3.89e+10,Capacitance,3.46474e-13,-1.44924e-13,3.46474e-13
3.91e+10,Resistance,24.7525,8.51239,24.7525
3.91e+10,Inductance,1.72596e-09,1.96552e-10,1.72596e-09
3.91e+10,Conductance,0.00561579,-0.00119525,0.00561579
3.91e+10,Capacitance,3.54655e-13,-1.46258e-13,3.54655e-13
3.93e+10,Resistance,24.7806,8.51522,24.7806
3.93e+10,Inductance,1.77153e-09,2.13405e-10,1.77153e-09
3.93e+10,Conductance,0.00565542,-0.00120063,0.00565542
3.93e+10,Capacitance,3.62752e-13,-1.47579e-13,3.62752e-13
3.95e+10,Resistance,24.8082,8.51775,24.8082
3.95e+10,Inductance,1.81665e-09,2.30082e-10,1.81665e-09
3.95e+10,Conductance,0.00569509,-0.00120602,0.00569509
3.95e+10,Capacitance,3.70767e-13,-1.48886e-13,3.70767e-13
3.97e+10,Resistance,24.8362,8.52121,24.8362
3.97e+10,Inductance,1.86131e-09,2.46596e-10,1.86131e-09
3.97e+10,Conductance,0.00573478,-0.00121154,0.00573478
3.97e+10,Capacitance,3.78702e-13,-1.5018e-13,3.78702e-13
3.99e+10,Resistance,24.864,8.5239,24.864
3.99e+10,Inductance,1.90552e-09,2.62943e-10,1.90552e-09
3.99e+10,Conductance,0.00577439,-0.00121691,0.00577439
3.99e+10,Capacitance,3.86557e-13,-1.51461e-13,3.86557e-13
4.01e+10,Resistance,24.892,8.52638,24.892
4.01e+10,Inductance,1.94929e-09,2.7913e-10,1.94929e-09
4.01e+10,Conductance,0.0058139,-0.00122219,0.0058139
4.01e+10,Capacitance,3.94333e-13,-1.5273e-13,3.94333e-13
4.03e+10,Resistance,24.9191,8.52946,24.9191
4.03e+10,Inductance,1.99263e-09,2.95152e-10,1.99263e-09
4.03e+10,Conductance,0.00585366,-0.0012277,0.00585366
4.03e+10,Capacitance,4.02032e-13,-1.53985e-13,4.02032e-13
4.05e+10,Resistance,24.9463,8.53181,24.9463
4.05e+10,Inductance,2.03553e-09,3.11015e-10,2.03553e-09
4.05e+10,Conductance,0.00589338,-0.00123307,0.00589338
4.05e+10,Capacitance,4.09656e-13,-1.55229e-13,4.09656e-13
4.07e+10,Resistance,24.9739,8.53507,24.9739
4.07e+10,Inductance,2.07802e-09,3.26722e-10,2.07802e-09
4.07e+10,Conductance,0.00593302,-0.00123854,0.00593302
4.07e+10,Capacitance,4.17204e-13,-1.56459e-13,4.17204e-13
4.09e+10,Resistance,25.0011,8.5371,25.0011
4.09e+10,Inductance,2.12009e-09,3.4228e-10,2.12009e-09
4.09e+10,Conductance,0.00597261,-0.0012438,0.00597261
4.09e+10,Capacitance,4.24679e-13,-1.57679e-13,4.24679e-13
4.11e+10,Resistance,25.0295,8.54094,25.0295
4.11e+10,Inductance,2.16175e-09,3.57685e-10,2.16175e-09
4.11e+10,Conductance,0.00601214,-0.00124933,0.00601214
4.11e+10,Capacitance,4.32081e-13,-1.58886e-13,4.32081e-13
4.13e+10,Resistance,25.0563,8.54292,25.0563
4.13e+10,Inductance,2.203e-09,3.72938e-10,2.203e-09
4.13e+10,Conductance,0.00605182,-0.00125463,0.00605182
4.13e+10,Capacitance,4.39412e-13,-1.60082e-13,4.39412e-13
4.15e+10,Resistance,25.0833,8.54597,25.0833
4.15e+10,Inductance,2.24386e-09,3.88046e-10,2.24386e-09
4.15e+10,Conductance,0.00609149,-0.00126008,0.00609149
4.15e+10,Capacitance,4.46671e-13,-1.61266e-13,4.46671e-13
4.17e+10,Resistance,25.1101,8.54796,25.1101
